Orgánica;Económica;Explicación ;Total (miles euros);Total (euros)
23.05;10;Altos cargos;61,04;61.040,00
23.05;12;Funcionarios;5.628,80;5.628.800,00
23.05;13;Laborales;465,76;465.760,00
23.05;16;Cuotas, prestaciones y gastos sociales;934,91;934.910,00
23.05;45;A Comunidades Autónomas (desalación en Canarias);8.000,00;8.000.000,00
23.05;6;Inversiones reales;220.800,00;220.800.000,00
23.05;74;A entidades públicas estatales (ACUAES – EDAR Loiola);10.000,00;10.000.000,00
23.05;743;ACUAES – defensa contra inundaciones río Zadorra;7.000,00;7.000.000,00
23.05;75;A Comunidades Autónomas (Canarias, Baleares, País Vasco, Andalucía);41.501,00;41.501.000,00
23.05;76;A Entidades Locales (Bizkaia, Arnedillo, Enciso);1.805,00;1.805.000,00
23.05;—;Total Dirección General del Agua;296.196,51;296.196.510,00
23.102;15–16204;Gastos de personal (incentivos, productividad, SS, formación, acción social);9.657,55;9.657.550,00
23.102;202–22601;Gastos corrientes (arrendamientos, tributos, protocolo);2.335,01;2.335.010,00
23.102;35;Gastos financieros;30;30.000,00
23.102;48;Transferencias corrientes (voluntariado en ríos);150;150.000,00
23.102;6;Inversiones reales;10.015,00;10.015.000,00
23.102;83;Activos financieros (préstamos largo plazo);30;30.000,00
23.102;—;Total CH Cantábrico;22.217,56;22.217.560,00
23.103;15–16204;Gastos de personal;19.669,27;19.669.270,00
23.103;202–22505;Gastos corrientes;30.961,73;30.961.730,00
23.103;35–359;Gastos financieros;781,33;781.330,00
23.103;45–490;Transferencias corrientes (universidades, SEPREM, RIOB);14,32;14.320,00
23.103;6;Inversiones reales;44.952,00;44.952.000,00
23.103;83;Activos financieros;100;100.000,00
23.103;—;Total CH Duero;96.478,65;96.478.650,00
23.104;15–16204;Gastos de personal;26.303,39;26.303.390,00
23.104;202–22601;Gastos corrientes;37.660,50;37.660.500,00
23.104;35;Gastos financieros;18,5;18.500,00
23.104;45;Transferencias corrientes (Universidad Zaragoza);45;45.000,00
23.104;6;Inversiones reales;33.385,00;33.385.000,00
23.104;76;Transferencias de capital (Ajuntament de Rialp);100;100.000,00
23.104;83;Activos financieros;45;45.000,00
23.104;—;Total CH Ebro;97.557,39;97.557.390,00
23.105;15–16204;Gastos de personal;24.458,45;24.458.450,00
23.105;202–22601;Gastos corrientes;58.191,22;58.191.220,00
23.105;31–310;Gastos financieros;250;250.000,00
23.105;49;Transferencias corrientes (Proyecto LifeWatch ERIC);250;250.000,00
23.105;6;Inversiones reales;76.762,55;76.762.550,00
23.105;74;Transferencias de capital (ACUAES – Presas Arenoso y La Breña II);13.200,00;13.200.000,00
23.105;83;Activos financieros;162,04;162.040,00
23.105;91;Pasivos financieros (amortización préstamos largo plazo);35.500,00;35.500.000,00
23.105;—;Total CH Guadalquivir;208.774,26;208.774.260,00
 ; ;TOTAL Gestión e infraestructuras del agua;1.287.050,80;1.287.050.800,00
