;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 05 CONSEJO DE ESTADO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;CONSEJO DE ESTADO;;;
v;;912N;;Alto asesoramiento del Estado;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;1.028,00;
;;;100;Retribuciones básicas y otras remuneraciones;;1.028,00;
;;;10000; Retribuciones básicas;264,57;;
;;;10001; Retribuciones complementarias;763,43;;
v;;;11;Personal eventual;;472,99;
;;;110;Retribuciones básicas y otras remuneraciones;;472,99;
;;;11000; Retribuciones básicas;134,90;;
;;;11001; Retribuciones complementarias;338,09;;
v;;;12;Funcionarios;;6.920,20;
;;;120;Retribuciones básicas;;2.417,41;
;;;12000; Sueldos del grupo A1 y grupo A;698,61;;
;;;12001; Sueldos del grupo A2 y grupo B;167,09;;
;;;12002; Sueldos del grupo C1 y grupo C;270,20;;
;;;12003; Sueldos del grupo C2 y grupo D;305,22;;
;;;12005; Trienios;563,52;;
;;;12006; Pagas extraordinarias;412,77;;
;;;121;Retribuciones complementarias;;4.502,79;
;;;12100; Complemento de destino;1.114,24;;
;;;12101; Complemento específico;2.907,55;;
;;;12181; Necesidades adicionales;481,00;;
v;;;13;Laborales;;637,15;
;;;130;Laboral fijo;;637,15;
;;;13000; Retribuciones básicas;404,09;;
;;;13001; Otras remuneraciones;233,06;;
v;;;15;Incentivos al rendimiento;;1.387,73;
v;;;150;Productividad;;1.304,77;
v;;;151;Gratificaciones;;82,96;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;724,69;
;;;160;Cuotas sociales;;623,67;
v;;;16000; Seguridad Social;623,67;;
;;;162;Gastos sociales del personal;;101,02;
v;;;16200; Formación y perfeccionamiento del personal;38,69;;
v;;;16204; Acción social;62,33;;
;;;;TOTAL GASTOS DE PERSONAL;;11.170,76;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;25,00;
;;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;25,00;
v;;;21;Reparaciones, mantenimiento y conservación;;474,80;
;;;212;Edificios y otras construcciones;;25,00;
;;;213;Maquinaria, instalaciones y utillaje;;259,80;
;;;215;Mobiliario y enseres;;35,00;
;;;216;Equipos para procesos de la información;;155,00;
v;;;22;Material, suministros y otros;;1.983,30;
;;;220;Material de oficina;;201,30;
;;;22000; Ordinario no inventariable;30,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;126,30;;
;;;22002; Material informático no inventariable;45,00;;
;;;221;Suministros;;378,00;
;;;22100; Energía eléctrica;300,00;;
;;;22101; Agua;10,00;;
;;;22104; Vestuario;19,00;;
;;;22105; Alimentación;16,00;;
;;;22106; Productos farmacéuticos y material sanitario;3,00;;
;;;22199; Otros suministros;30,00;;
;;;222;Comunicaciones;;145,00;
;;;22200; Servicios de telecomunicaciones;135,00;;
;;;22201; Postales y mensajería;10,00;;
;;;223;Transportes;;25,00;
;;;225;Tributos;;65,00;
v;;;22502; Locales;65,00;;
;;;226;Gastos diversos;;233,00;
v;;;22601; Atenciones protocolarias y representativas;95,00;;
;;;22602; Publicidad y propaganda;20,00;;
;;;22606; Reuniones, conferencias y cursos;110,00;;
;;;22699; Otros;8,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;936,00;
;;;22700; Limpieza y aseo;350,00;;
;;;22701; Seguridad;310,00;;
;;;22704; Custodia, depósito y almacenaje;110,00;;
;;;22706; Estudios y trabajos técnicos;110,00;;
;;;22799; Otros;56,00;;
v;;;23;Indemnizaciones por razón del servicio;;330,00;
;;;230;Dietas;;40,00;
;;;231;Locomoción;;40,00;
;;;233;Otras indemnizaciones;;250,00;
v;;;24;Gastos de publicaciones;;61,00;
;;;240;Gastos de edición y distribución;;61,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.874,10;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;232,96;
v;;;482;Indemnizaciones;;232,96;
;;;48200; Indemnización a Ex-Presidentes;68,47;;
;;;48201; Indemnizaciones a Ex-Consejeros;164,49;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;232,96;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;45,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;45,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;325,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;325,00;
;;;64;Gastos de inversiones de carácter inmaterial;;30,00;
;;;640;Gastos en inversiones de carácter inmaterial;;30,00;
;;;;TOTAL INVERSIONES REALES;;400,00;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;9,02;
v;;;830;Préstamos a corto plazo;;9,02;
;;;83008; Familias e instituciones sin fines de lucro;9,02;;
;;;;TOTAL ACTIVOS FINANCIEROS;;9,02;
 ; ;;;;;;
;;;;TOTAL Alto asesoramiento del Estado;;14.686,84;
 ; ;;;;;;
;;;;TOTAL CONSEJO DE ESTADO;;14.686,84;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL CONSEJO DE ESTADO;;14.686,84;
;;



