Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27.15;10;Altos cargos;61,04;61.040,00
27.15;12;Funcionarios;6.070,34;6.070.340,00
27.15;13;Laborales;287,65;287.650,00
27.15;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;666,41;666.410,00
27.15;16000;Seguridad Social;666,41;666.410,00
—;1;TOTAL GASTOS DE PERSONAL;7.085,44;7.085.440,00
27.15;22;Material, suministros y otros;582,13;582.130,00
27.15;23;Indemnizaciones por razón del servicio;70;70.000,00
—;2;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;652,13;652.130,00
27.15;47;A empresas privadas – Premios al pequeño comerciante;25;25.000,00
27.15;48;A familias e instituciones sin fines de lucro;109;109.000,00
27.15;481;Premios a asociaciones de comerciantes sin fines de lucro;25;25.000,00
27.15;482;Premios al concurso de ideas tecnológicas para el comercio minorista;34;34.000,00
27.15;483;A la Confederación Española de Comercio;50;50.000,00
—;4;TOTAL TRANSFERENCIAS CORRIENTES;134;134.000,00
27.15;6;INVERSIONES REALES;5;5.000,00
27.15;76;A Entidades Locales;600;600.000,00
27.15;763;Al Ayuntamiento de Burgos para mercado provisional;100;100.000,00
27.15;764;Al Ayuntamiento de Ondarroa – Proyecto renovación Berdura Plaza;500;500.000,00
27.15;78;A familias e instituciones sin fines de lucro – Apoyo a la competitividad del comercio minorista;2.127,50;2.127.500,00
27.15;783;Actuaciones de apoyo a la competitividad del comercio minorista;2.127,50;2.127.500,00
—;7;TOTAL TRANSFERENCIAS DE CAPITAL;2.727,50;2.727.500,00
—;—;TOTAL DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL / PROGRAMA 431O;10.604,07;10.604.070,00
