;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 923C Elaboración y difusión estadística;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;27.101;;Total;
1;GASTOS DE PERSONAL;121.426,15;;121.426,15;
10; Altos cargos;254,28;;254,28;
12; Funcionarios;53.432,92;;53.432,92;
13; Laborales;43.432,11;;43.432,11;
15; Incentivos al rendimiento;3.961,45;;3.961,45;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;20.345,39;;20.345,39;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;29.454,40;;29.454,40;
20; Arrendamientos y cánones;7.654,06;;7.654,06;
21; Reparaciones, mantenimiento y conservación;4.410,89;;4.410,89;
22; Material, suministros y otros;14.916,55;;14.916,55;
23; Indemnizaciones por razón del servicio;2.396,40;;2.396,40;
24; Gastos de publicaciones;76,50;;76,50;
3;GASTOS FINANCIEROS;36,31;;36,31;
35; Intereses de demora y otros gastos financieros;36,31;;36,31;
4;TRANSFERENCIAS CORRIENTES;518,58;;518,58;
48; A familias e instituciones sin fines de lucro;510,80;;510,80;
49; Al exterior;7,78;;7,78;
6;INVERSIONES REALES;38.793,65;;38.793,65;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;836,70;;836,70;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;16.035,20;;16.035,20;
64; Gastos de inversiones de carácter inmaterial;21.921,75;;21.921,75;
7;TRANSFERENCIAS DE CAPITAL;2.312,46;;2.312,46;
76; A Entidades Locales;818,00;;818,00;
78; A familias e instituciones sin fines de lucro;1.494,46;;1.494,46;
8;ACTIVOS FINANCIEROS;247,62;;247,62;
83; Concesión de préstamos fuera del Sector Público;247,62;;247,62;
;TOTAL;192.789,17;;192.789,17;
;;



