Económica;Explicación;27.10 ;27.14 ;27.15 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;18.797,87;60.150,20;78.948,07;78.948.070
10;Altos cargos;—;61,04;—;61,04;61.040
12;Funcionarios;—;14.052,67;31.655,17;45.707,84;45.707.840
13;Laborales;—;2.817,07;22.111,13;24.928,20;24.928.200
16;Cuotas, prestaciones y gastos sociales;—;1.867,09;6.383,90;8.250,99;8.250.990
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;15.381,06;—;15.381,06;15.381.060
20;Arrendamientos y cánones;—;7.600,00;—;7.600,00;7.600.000
21;Reparaciones, mantenimiento y conservación;—;660,52;—;660,52;660.520
22;Material, suministros y otros;—;3.826,71;—;3.826,71;3.826.710
23;Indemnizaciones por razón del servicio;—;3.293,83;—;3.293,83;3.293.830
3;GASTOS FINANCIEROS;—;116,93;—;116,93;116.930
35;Intereses de demora y otros gastos financieros;—;116,93;—;116,93;116.930
4;TRANSFERENCIAS CORRIENTES;16.106,77;535;—;16.641,77;16.641.770
44;A entidades del sector público estatal;15.886,77;30;—;15.916,77;15.916.770
45;A Comunidades Autónomas;—;500;—;500;500.000
46;A Entidades Locales;100;—;—;100;100.000
48;A familias e instituciones sin fines de lucro;120;—;—;120;120.000
49;Al exterior;—;5;—;5;5.000
6;INVERSIONES REALES;—;1.400,00;—;1.400,00;1.400.000
62;Inversión nueva operativa;—;50;—;50;50.000
63;Inversión de reposición operativa;—;1.350,00;—;1.350,00;1.350.000
7;TRANSFERENCIAS DE CAPITAL;66.816,29;—;—;66.816,29;66.816.290
74;A entidades del sector público estatal;66.816,29;—;—;66.816,29;66.816.290
8;ACTIVOS FINANCIEROS;—;230.146,50;—;230.146,50;230.146.500
84;Constitución de depósitos y fianzas;—;145;—;145;145.000
87;Aportaciones patrimoniales;—;230.001,50;—;230.001,50;230.001.500
TOTAL;—;82.923,06;266.377,36;60.150,20;409.450,62;409.450.620
