Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
27.03;35;Intereses de demora y otros gastos financieros;12.630,00;12.630.000,00
27.03;359;Otros gastos financieros;12.630,00;12.630.000,00
27.03;48;Becas Fulbright;200,00;200.000,00
27.03;484;Fundación Real Instituto Elcano;50,00;50.000,00
27.03;49;MEDE – intereses negativos;2.000,00;2.000.000,00
27.03;483;A familias e instituciones sin fines de lucro;250;250.000,00
27.03;744;Subvenciones de intereses por préstamos ICO;372,07;372.070,00
27.03;892;Aportación al MEDE – activos financieros;1,00;1.000,00
—;—;Total Secretaría de Estado de Economía y Apoyo a la Empresa;15.253,07;15.253.070,00
27.05;10;Altos cargos;61,04;61.040,00
27.05;12;Funcionarios;3.428,07;3.428.070,00
27.05;13;Laborales;51,35;51.350,00
27.05;16;Seguridad Social;388,29;388.290,00
27.05;21;Reparaciones, mantenimiento y conservación;50;50.000,00
27.05;22;Material, suministros y otros;383,03;383.030,00
27.05;22601;Atenciones protocolarias y representativas;3,16;3.160,00
27.05;23;Indemnizaciones por razón del servicio;130,15;130.150,00
27.05;470;Cuotas Nacionales;3,5;3.500,00
27.05;6;Inversiones reales;204,49;204.490,00
—;—;Total Dirección General de Política Económica;4.699,92;4.699.920,00
27.06;10;Altos cargos;61,04;61.040,00
27.06;12;Funcionarios;1.690,65;1.690.650,00
27.06;16;Seguridad Social;236,09;236.090,00
27.06;22;Material, suministros y otros;140,68;140.680,00
27.06;22601;Atenciones protocolarias y representativas;4,22;4.220,00
27.06;23;Indemnizaciones por razón del servicio;116,24;116.240,00
27.06;491;Contribución al Foro Global de Productividad OCDE;21;21.000,00
—;—;Total Dirección General de Análisis Económico;2.265,70;2.265.700,00
—;—;27.03 Secretaría de Estado de Economía y Apoyo a la Empresa;15.253,07;15.253.070,00
—;—;27.05 Dirección General de Política Económica;4.699,92;4.699.920,00
—;—;27.06 Dirección General de Análisis Económico;2.265,70;2.265.700,00
—;—;—;22.218,69;22.218.690,00
