;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 493M Dirección, control y gestión de seguros;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;27.07;;Total;
1;GASTOS DE PERSONAL;11.044,95;;11.044,95;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;9.219,64;;9.219,64;
13; Laborales;660,63;;660,63;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.103,64;;1.103,64;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.626,07;;2.626,07;
21; Reparaciones, mantenimiento y conservación;1.228,18;;1.228,18;
22; Material, suministros y otros;1.220,92;;1.220,92;
23; Indemnizaciones por razón del servicio;176,97;;176,97;
4;TRANSFERENCIAS CORRIENTES;1.999,93;;1.999,93;
49; Al exterior;1.999,93;;1.999,93;
6;INVERSIONES REALES;3.267,47;;3.267,47;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;929,00;;929,00;
64; Gastos de inversiones de carácter inmaterial;2.338,47;;2.338,47;
;TOTAL;18.938,42;;18.938,42;
;;



