Económica;Explicación;27.03;27.05;27.06;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;3.928,75;1.987,78;5.916,53;5.916.530,00
10;Altos cargos;—;61,04;61,04;122,08;122.080,00
12;Funcionarios;—;3.428,07;1.690,65;5.118,72;5.118.720,00
13;Laborales;—;51,35;—;51,35;51.350,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;—;388,29;236,09;624,38;624.380,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;563,18;256,92;820,1;820.100,00
21;Reparaciones, mantenimiento y conservación;—;50;—;50;50.000,00
22;Material, suministros y otros;—;383,03;140,68;523,71;523.710,00
23;Indemnizaciones por razón del servicio;—;130,15;116,24;246,39;246.390,00
3;GASTOS FINANCIEROS;12.630,00;—;—;12.630,00;12.630.000,00
35;Intereses de demora y otros gastos financieros;12.630,00;—;—;12.630,00;12.630.000,00
4;TRANSFERENCIAS CORRIENTES;2.250,00;3,5;21;2.274,50;2.274.500,00
47;A empresas privadas;—;3,5;—;3,5;3.500,00
48;A familias e instituciones sin fines de lucro;250,00;—;—;250,00;250.000,00
49;Al exterior;2.000,00;—;21;2.021,00;2.021.000,00
6;INVERSIONES REALES;—;204,49;—;204,49;204.490,00
63;Inversión de reposición asociada al funcionamiento operativo;—;4,49;—;4,49;4.490,00
64;Gastos de inversiones de carácter inmaterial;—;200;—;200;200.000,00
7;TRANSFERENCIAS DE CAPITAL;372,07;—;—;372,07;372.070,00
74;A entidades del Sector Público Estatal;372,07;—;—;372,07;372.070,00
8;ACTIVOS FINANCIEROS;1;—;—;1;1.000,00
89;Suscripción de acciones y aportaciones a organismos internacionales;1,00;—;—;1,00;1.000,00
—;TOTAL PROGRAMA 931M – Previsión y política económica;15.253,07;4.699,92;2.265,70;22.218,69;22.218.690,00
