;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Programa: 931M Previsión y política económica;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;27.03;27.05;27.06;;;Total;
1;GASTOS DE PERSONAL;;3.928,75;1.987,78;;;5.916,53;
10; Altos cargos;;61,04;61,04;;;122,08;
12; Funcionarios;;3.428,07;1.690,65;;;5.118,72;
13; Laborales;;51,35;;;;51,35;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;388,29;236,09;;;624,38;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;563,18;256,92;;;820,10;
21; Reparaciones, mantenimiento y conservación;;50,00;;;;50,00;
22; Material, suministros y otros;;383,03;140,68;;;523,71;
23; Indemnizaciones por razón del servicio;;130,15;116,24;;;246,39;
3;GASTOS FINANCIEROS;12.630,00;;;;;12.630,00;
35; Intereses de demora y otros gastos financieros;12.630,00;;;;;12.630,00;
4;TRANSFERENCIAS CORRIENTES;2.250,00;3,50;21,00;;;2.274,50;
47; A empresas privadas;;3,50;;;;3,50;
48; A familias e instituciones sin fines de lucro;250,00;;;;;250,00;
49; Al exterior;2.000,00;;21,00;;;2.021,00;
6;INVERSIONES REALES;;204,49;;;;204,49;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;4,49;;;;4,49;
64; Gastos de inversiones de carácter inmaterial;;200,00;;;;200,00;
7;TRANSFERENCIAS DE CAPITAL;372,07;;;;;372,07;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;372,07;;;;;372,07;
8;ACTIVOS FINANCIEROS;1,00;;;;;1,00;
89; Suscripción de acciones y aportaciones de fondos a organismos internacionales;1,00;;;;;1,00;
;TOTAL;15.253,07;4.699,92;2.265,70;;;22.218,69;
;;



