Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;533.497,39;533.497.390,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;199.716,04;199.716.040,00
3;GASTOS FINANCIEROS;52,89;52.890,00
4;TRANSFERENCIAS CORRIENTES;136.826,82;136.826.820,00
—;TOTAL OPERACIONES CORRIENTES;870.093,14;870.093.140,00
6;INVERSIONES REALES;126.511,31;126.511.310,00
7;TRANSFERENCIAS DE CAPITAL;2.000,00;2.000.000,00
—;TOTAL OPERACIONES DE CAPITAL;128.511,31;128.511.310,00
—;TOTAL OPERACIONES NO FINANCIERAS;998.604,45;998.604.450,00
8;ACTIVOS FINANCIEROS;608,31;608.310,00
—;TOTAL PRESUPUESTO;999.212,76;999.212.760,00
4;TRANSFERENCIAS CORRIENTES;–136.154,92;–136.154.920,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–136.154,92;–136.154.920,00
;TOTAL CONSOLIDADO;863.057,84;863.057.840,00
