;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 312A Asistencia hospitalaria en las Fuerzas Armadas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;14.01;;Total;
1;GASTOS DE PERSONAL;152.371,96;;152.371,96;
12; Funcionarios;88.918,84;;88.918,84;
13; Laborales;17.920,26;;17.920,26;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;45.532,86;;45.532,86;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.609,48;;24.609,48;
20; Arrendamientos y cánones;8,18;;8,18;
21; Reparaciones, mantenimiento y conservación;3.170,00;;3.170,00;
22; Material, suministros y otros;21.431,30;;21.431,30;
6;INVERSIONES REALES;1.255,31;;1.255,31;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;1.255,31;;1.255,31;
;TOTAL;178.236,75;;178.236,75;
;;



