;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 121N Formación del Personal de las Fuerzas Armadas;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;14.01;14.02;14.03;14.12;14.17;14.22;;;Total;
1;GASTOS DE PERSONAL;425.689,71;;;;;;;;425.689,71;
12; Funcionarios;354.928,45;;;;;;;;354.928,45;
13; Laborales;30.900,92;;;;;;;;30.900,92;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;39.860,34;;;;;;;;39.860,34;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.198,65;4.331,60;319,34;18.026,68;9.961,56;5.921,12;;;43.758,95;
20; Arrendamientos y cánones;4,00;;;247,50;;40,00;;;291,50;
21; Reparaciones, mantenimiento y conservación;280,18;103,72;;;;50,00;;;433,90;
22; Material, suministros y otros;3.569,47;1.589,06;319,34;3.303,25;4.764,56;4.420,42;;;17.966,10;
23; Indemnizaciones por razón del servicio;1.345,00;2.638,82;;14.475,93;5.197,00;1.410,70;;;25.067,45;
4;TRANSFERENCIAS CORRIENTES;24.306,95;;;384,54;;;;;24.691,49;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;13.348,88;;;;;;;;13.348,88;
45; A Comunidades Autónomas;10.003,41;;;;;;;;10.003,41;
48; A familias e instituciones sin fines de lucro;954,66;;;384,54;;;;;1.339,20;
7;TRANSFERENCIAS DE CAPITAL;188,00;;;;;;;;188,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;188,00;;;;;;;;188,00;
;TOTAL;455.383,31;4.331,60;319,34;18.411,22;9.961,56;5.921,12;;;494.328,15;
;;



