;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;14.03;14.50;14.101;14.107;14.113;Total;
4;TRANSFERENCIAS CORRIENTES;312.179,35;;1,00;388,25;974,91;313.543,51;
40; A la Administración del Estado;;;1,00;388,25;974,91;1.364,16;
41; A Organismos Autónomos;39.427,75;;;;;39.427,75;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;272.751,60;;;;;272.751,60;
7;TRANSFERENCIAS DE CAPITAL;78.565,22;2.947,56;;100,00;;81.612,78;
70; A la Administración del Estado;;;;100,00;;100,00;
71; A Organismos Autónomos;24.346,68;;;;;24.346,68;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54.218,54;2.947,56;;;;57.166,10;
9;PASIVOS FINANCIEROS;;;250,00;;;250,00;
91; Amortización de préstamos en euros;;;250,00;;;250,00;
;TOTAL;390.744,57;2.947,56;251,00;488,25;974,91;395.406,29;
;;



