Económica;Explicación;Miles €;Euros reales
1;GASTOS DE PERSONAL;4.058,87;4.058.870 €
12;Funcionarios;2.778,17;2.778.170 €
13;Laborales;660;660.000 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;620,7;620.700 €
16000;Seguridad Social;620,7;620.700 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.000,00;5.000.000 €
22;Material, suministros y otros;5.000,00;5.000.000 €
4;TRANSFERENCIAS CORRIENTES;187,84;187.840 €
44;A entidades públicas estatales;187,84;187.840 €
442;A Red.es;187,84;187.840 €
6;INVERSIONES REALES;4.900,00;4.900.000 €
7;TRANSFERENCIAS DE CAPITAL;11.100,00;11.100.000 €
74–78;A entidades públicas, privadas, locales, CCAA y familias;—;—
740–783;España Digital 2025 / Key Digital Technologies (KDT);—;—
8;ACTIVOS FINANCIEROS;16.000,00;16.000.000 €
83;Préstamos fuera del sector público;1.000,00;1.000.000 €
87;Aportaciones patrimoniales;15.000,00;15.000.000 €
871;Aportación a Red.es para IA;15.000,00;15.000.000 €
—;TOTAL 33.04;41.246,71;41.246.710 €
1;GASTOS DE PERSONAL;12.875,15;12.875.150 €
10;Altos cargos;71,16;71.160 €
12;Funcionarios;10.682,45;10.682.450 €
13;Laborales;388,88;388.880 €
16;Seguridad Social;1.732,66;1.732.660 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.976,86;16.976.860 €
21;Reparaciones, mantenimiento y conservación;4.260,45;4.260.450 €
22;Material, suministros y otros;12.639,71;12.639.710 €
22601;Atenciones protocolarias y representativas;4,68;4.680 €
23;Indemnizaciones por razón del servicio;76,7;76.700 €
6;INVERSIONES REALES;17.607,34;17.607.340 €
—;TOTAL 33.05;47.459,35;47.459.350 €
;Secretaría de Estado de Digitalización e IA;41.246,71;41.246.710 €
;Secretaría General de Administración Digital;47.459,35;47.459.350 €
;TOTAL PROGRAMA 467G;88.706,06;88.706.060 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
