;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 467I Innovación tecnológica de las telecomunicaciones;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;33.03;33.04;Total;
1;GASTOS DE PERSONAL;;2.699,98;2.699,98;
12; Funcionarios;;2.330,24;2.330,24;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;369,74;369,74;
4;TRANSFERENCIAS CORRIENTES;150,00;2.395,00;2.545,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;1.045,00;1.045,00;
48; A familias e instituciones sin fines de lucro;150,00;1.350,00;1.500,00;
6;INVERSIONES REALES;3.620,35;14.582,76;18.203,11;
64; Gastos de inversiones de carácter inmaterial;3.620,35;14.582,76;18.203,11;
7;TRANSFERENCIAS DE CAPITAL;6.500,00;24.300,00;30.800,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;10.000,00;10.000,00;
75; A Comunidades Autónomas;;1.000,00;1.000,00;
76; A Entidades Locales;500,00;5.000,00;5.500,00;
77; A empresas privadas;6.000,00;5.300,00;11.300,00;
78; A familias e instituciones sin fines de lucro;;3.000,00;3.000,00;
8;ACTIVOS FINANCIEROS;5.000,00;144.825,40;149.825,40;
82; Concesión de préstamos al Sector Público;2.500,00;5.000,00;7.500,00;
83; Concesión de préstamos fuera del Sector Público;2.500,00;17.649,77;20.149,77;
87; Aportaciones patrimoniales;;122.175,63;122.175,63;
;TOTAL;15.270,35;188.803,14;204.073,49;
;;



