Económica;Explicación;33.04 Digitalización e IA;33.05 Administración Digital;Total (miles €);Total (€ reales)
1;GASTOS DE PERSONAL;4.058,87;12.875,15;16.934,02;16.934.020 €
10;Altos cargos;—;71,16;71,16;71.160 €
12;Funcionarios;2.778,17;10.682,45;13.460,62;13.460.620 €
13;Laborales;660;388,88;1.048,88;1.048.880 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;620,7;1.732,66;2.353,36;2.353.360 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.000,00;16.976,86;21.976,86;21.976.860 €
21;Reparaciones, mantenimiento y conservación;—;4.260,45;4.260,45;4.260.450 €
22;Material, suministros y otros;5.000,00;12.639,71;17.639,71;17.639.710 €
23;Indemnizaciones por razón del servicio;—;76,7;76,7;76.700 €
4;TRANSFERENCIAS CORRIENTES;187,84;—;187,84;187.840 €
44;A entidades públicas estatales;187,84;—;187,84;187.840 €
6;INVERSIONES REALES;4.900,00;17.607,34;22.507,34;22.507.340 €
62;Inversión nueva operativa;—;3.122,09;3.122,09;3.122.090 €
63;Inversión de reposición operativa;—;1.227,97;1.227,97;1.227.970 €
64;Inversiones de carácter inmaterial;4.900,00;13.257,28;18.157,28;18.157.280 €
7;TRANSFERENCIAS DE CAPITAL;11.100,00;—;11.100,00;11.100.000 €
74;A entidades públicas estatales;500;—;500,00;500.000 €
75;A Comunidades Autónomas;800,00;—;800,00;800.000 €
76;A Entidades Locales;500;—;500;500.000 €
77;A empresas privadas;5.800,00;—;5.800,00;5.800.000 €
78;A familias e instituciones sin fines de lucro;3.500,00;—;3.500,00;3.500.000 €
8;ACTIVOS FINANCIEROS;16.000,00;—;16.000,00;16.000.000 €
83;Préstamos fuera del sector público;1.000,00;—;1.000,00;1.000.000 €
87;Aportaciones patrimoniales;15.000,00;—;15.000,00;15.000.000 €
—;TOTAL PROGRAMA 467G;41.246,71;47.459,35;88.706,06;88.706.060 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
