Económica;Explicación;Orgánica;Total (miles euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;33.06;28.173,32;28.173.320,00
41;A Organismos Autónomos;33.06;25.483,26;25.483.260,00
418;Al INAP;33.06;25.483,26;25.483.260,00
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;33.06;2.690,06;2.690.060,00
437;Al Consejo de Transparencia y Buen Gobierno;33.06;2.690,06;2.690.060,00
7;TRANSFERENCIAS DE CAPITAL;33.06;3.448,49;3.448.490,00
71;A Organismos Autónomos;33.06;3.394,49;3.394.490,00
718;Al INAP;33.06;3.394,49;3.394.490,00
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;33.06;54;54.000,00
737;Al Consejo de Transparencia y Buen Gobierno;33.06;54;54.000,00
—;TOTAL SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;33.06;31.621,81;31.621.810,00
418;Al INAP – Mecanismo de Recuperación y Resiliencia;33.50;450;450.000,00
718;Al INAP – Mecanismo de Recuperación y Resiliencia;33.50;750;750.000,00
719;A MUFACE – Mecanismo de Recuperación y Resiliencia;33.50;1.084,46;1.084.460,00
—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;33.50;2.284,46;2.284.460,00
4;TRANSFERENCIAS CORRIENTES;33.102;432,02;432.020,00
40;A la Administración del Estado;33.102;432,02;432.020,00
402;Al Estado – compensación por gestión centralizada;33.102;432,02;432.020,00
—;TOTAL MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;33.102;432,02;432.020,00
;;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;34.338,29;34.338.290,00
