;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 222M Prestaciones económicas del Mutualismo Administrativo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;33.102;;Total;
1;GASTOS DE PERSONAL;31.536,02;;31.536,02;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;24.605,58;;24.605,58;
13; Laborales;2.110,62;;2.110,62;
15; Incentivos al rendimiento;1.704,53;;1.704,53;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.054,25;;3.054,25;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.455,30;;6.455,30;
20; Arrendamientos y cánones;166,50;;166,50;
21; Reparaciones, mantenimiento y conservación;299,61;;299,61;
22; Material, suministros y otros;5.794,73;;5.794,73;
23; Indemnizaciones por razón del servicio;59,46;;59,46;
24; Gastos de publicaciones;135,00;;135,00;
3;GASTOS FINANCIEROS;137,03;;137,03;
35; Intereses de demora y otros gastos financieros;137,03;;137,03;
4;TRANSFERENCIAS CORRIENTES;278.889,32;;278.889,32;
48; A familias e instituciones sin fines de lucro;278.889,32;;278.889,32;
6;INVERSIONES REALES;3.290,86;;3.290,86;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;38,48;;38,48;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;431,34;;431,34;
64; Gastos de inversiones de carácter inmaterial;2.821,04;;2.821,04;
8;ACTIVOS FINANCIEROS;180,30;;180,30;
83; Concesión de préstamos fuera del Sector Público;180,30;;180,30;
;TOTAL;320.488,83;;320.488,83;
;;



