Económica;Explicación;33.06 (miles €);Total (€ reales)
1;GASTOS DE PERSONAL;16.691,83;16.691.830 €
10;Altos cargos;263,42;263.420 €
11;Personal eventual;253,4;253.400 €
12;Funcionarios;11.729,91;11.729.910 €
13;Laborales;140;140.000 €
15;Incentivos al rendimiento;3.079,44;3.079.440 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.225,66;1.225.660 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.405,72;1.405.720 €
20;Arrendamientos y cánones;180;180.000 €
21;Reparaciones, mantenimiento y conservación;55,03;55.030 €
22;Material, suministros y otros;897,94;897.940 €
23;Indemnizaciones por razón del servicio;272,75;272.750 €
4;TRANSFERENCIAS CORRIENTES;1.344,69;1.344.690 €
47;A empresas privadas;16,74;16.740 €
48;A familias e instituciones sin fines de lucro;1.233,95;1.233.950 €
49;Al exterior;94,00;94.000 €
6;INVERSIONES REALES;1.076,00;1.076.000 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;10,00;10.000 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;70;70.000 €
64;Gastos de inversiones de carácter inmaterial;996;996.000 €
—;TOTAL PROGRAMA 921N;20.518,24;20.518.240 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
