Económica;Explicación;33.302;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.463,70;2.463,70;2.463.700,00
10;Altos cargos;113,9;113,9;113.900,00
12;Funcionarios;1.829,17;1.829,17;1.829.170,00
15;Incentivos al rendimiento;200,71;200,71;200.710,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;319,92;319,92;319.920,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;824,68;824,68;824.680,00
20;Arrendamientos y cánones;220;220;220.000,00
21;Reparaciones, mantenimiento y conservación;7;7;7.000,00
22;Material, suministros y otros;551,48;551,48;551.480,00
23;Indemnizaciones por razón del servicio;27;27;27.000,00
24;Gastos de publicaciones;19,2;19,2;19.200,00
3;GASTOS FINANCIEROS;1;1;1.000,00
35;Intereses de demora y otros gastos financieros;1;1;1.000,00
4;TRANSFERENCIAS CORRIENTES;10;10;10.000,00
48;A familias e instituciones sin fines de lucro;10;10;10.000,00
6;INVERSIONES REALES;77;77;77.000,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;27;27;27.000,00
64;Gastos de inversiones de carácter inmaterial;50;50;50.000,00
8;ACTIVOS FINANCIEROS;3;3;3.000,00
83;Concesión de préstamos fuera del Sector Público;3;3;3.000,00
—;TOTAL PROGRAMA 921X;3.379,38;3.379,38;3.379.380,00
