;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;Programa: 231G Atención a la infancia y a las familias;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;31.03;31.04;Total;
1;GASTOS DE PERSONAL;253,20;2.043,23;2.296,43;
10; Altos cargos;;61,04;61,04;
11; Personal eventual;253,20;;253,20;
12; Funcionarios;;1.133,87;1.133,87;
13; Laborales;;482,19;482,19;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;366,13;366,13;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;25,20;2.285,62;2.310,82;
22; Material, suministros y otros;;2.262,40;2.262,40;
23; Indemnizaciones por razón del servicio;25,20;23,22;48,42;
4;TRANSFERENCIAS CORRIENTES;30,00;36.748,61;36.778,61;
45; A Comunidades Autónomas;;35.000,00;35.000,00;
46; A Entidades Locales;;0,01;0,01;
48; A familias e instituciones sin fines de lucro;30,00;1.748,60;1.778,60;
7;TRANSFERENCIAS DE CAPITAL;;52,00;52,00;
76; A Entidades Locales;;52,00;52,00;
;TOTAL;308,40;41.129,46;41.437,86;
;;



