Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
31.01;10;Altos cargos;208,56;208.560,00
31.01;11;Personal eventual;518,37;518.370,00
31.01;12;Funcionarios;3.741,11;3.741.110,00
31.01;15;Incentivos al rendimiento;2.601,16;2.601.160,00
31.01;150;Productividad;2.582,59;2.582.590,00
31.01;151;Gratificaciones;18,57;18.570,00
31.01;16;Cuotas, prestaciones y gastos sociales;942,21;942.210,00
31.01;16000;Seguridad Social;865,57;865.570,00
31.01;16200;Formación y perfeccionamiento del personal;38,72;38.720,00
31.01;16204;Acción social;15,92;15.920,00
—;—;Total Gastos de Personal – 31.01;8.011,41;8.011.410,00
31.01;20;Arrendamientos y cánones;773;773.000,00
31.01;202;Arrendamientos de edificios y otras construcciones;768;768.000,00
31.01;21;Reparaciones, mantenimiento y conservación;37;37.000,00
31.01;22;Material, suministros y otros;427,61;427.610,00
31.01;22502;Locales;5;5.000,00
31.01;22601;Atenciones protocolarias y representativas;64,68;64.680,00
31.01;23;Indemnizaciones por razón del servicio;84,80;84.800,00
—;—;Total Gastos Corrientes – 31.01;1.322,41;1.322.410,00
31.01;6;Inversiones reales;75;75.000,00
—;—;Total Ministerio, Subsecretaría y Servicios Generales;9.408,82;9.408.820,00
31.02;10;Altos cargos;61,04;61.040,00
31.02;12;Funcionarios;679,97;679.970,00
31.02;16;Cuotas, prestaciones y gastos sociales;212;212.000,00
31.02;16000;Seguridad Social;212;212.000,00
—;—;Total Gastos de Personal – 31.02;953,01;953.010,00
31.02;22;Material, suministros y otros;12,34;12.340,00
31.02;22601;Atenciones protocolarias y representativas;2,34;2.340,00
31.02;23;Indemnizaciones por razón del servicio;22,50;22.500,00
—;—;Total Gastos Corrientes – 31.02;34,84;34.840,00
—;—;Total Secretaría General Técnica;987,85;987.850,00
;;31.01 Ministerio, Subsecretaría y Servicios Generales;9.408,82;9.408.820,00
;;31.02 Secretaría General Técnica;987,85;987.850,00
;;—;10.396,67;10.396.670,00
