Económica;Explicación;31.01 ;31.02 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;8.011,41;953,01;8.964,42;8.964.420,00
10;Altos cargos;208,56;61,04;269,6;269.600,00
11;Personal eventual;518,37;—;518,37;518.370,00
12;Funcionarios;3.741,11;679,97;4.421,08;4.421.080,00
15;Incentivos al rendimiento;2.601,16;—;2.601,16;2.601.160,00
16;Cuotas, prestaciones y gastos sociales;942,21;212;1.154,21;1.154.210,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.322,41;34,84;1.357,25;1.357.250,00
20;Arrendamientos y cánones;773;—;773;773.000,00
21;Reparaciones, mantenimiento y conservación;37;—;37;37.000,00
22;Material, suministros y otros;427,61;12,34;439,95;439.950,00
23;Indemnizaciones por razón del servicio;84,8;22,5;107,3;107.300,00
6;INVERSIONES REALES;75,00;—;75,00;75.000,00
62;Inversión nueva asociada al funcionamiento operativo;75;—;75;75.000,00
—;TOTAL PROGRAMA 232N – Dirección y Servicios Generales de Juventud e Infancia;9.408,82;987,85;10.396,67;10.396.670,00
