Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;60.225,00;60.225.000
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;710.792,52;710.792.520
3;GASTOS FINANCIEROS;270;270.000
4;TRANSFERENCIAS CORRIENTES;34.820.838,35;34.820.838.350
—;TOTAL OPERACIONES CORRIENTES;35.592.125,87;35.592.125.870
6;INVERSIONES REALES;14.281,00;14.281.000
7;TRANSFERENCIAS DE CAPITAL;1.540,20;1.540.200
—;TOTAL OPERACIONES DE CAPITAL;15.821,20;15.821.200
—;TOTAL OPERACIONES NO FINANCIERAS;35.607.947,07;35.607.947.070
8;ACTIVOS FINANCIEROS;10.005.661,15;10.005.661.150
—;TOTAL PRESUPUESTO;45.613.608,22;45.613.608.220
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–34.721.929,32;–34.721.929.320
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–1.240,20;–1.240.200
8;ACTIVOS FINANCIEROS (entre subsectores);–10.003.806,15;–10.003.806.150
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–44.726.975,67;–44.726.975.670
—;TOTAL CONSOLIDADO;886.632,55;886.632.550
