;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 04 TRIBUNAL CONSTITUCIONAL;
;Programa: 911P Control Constitucional;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;04.01;;Total;
1;GASTOS DE PERSONAL;21.252,60;;21.252,60;
10; Altos cargos;2.232,23;;2.232,23;
11; Personal eventual;1.218,48;;1.218,48;
12; Funcionarios;15.679,35;;15.679,35;
13; Laborales;935,23;;935,23;
15; Incentivos al rendimiento;234,38;;234,38;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;952,93;;952,93;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.658,86;;6.658,86;
20; Arrendamientos y cánones;31,88;;31,88;
21; Reparaciones, mantenimiento y conservación;799,00;;799,00;
22; Material, suministros y otros;5.524,68;;5.524,68;
23; Indemnizaciones por razón del servicio;232,40;;232,40;
24; Gastos de publicaciones;70,90;;70,90;
3;GASTOS FINANCIEROS;3,00;;3,00;
35; Intereses de demora y otros gastos financieros;3,00;;3,00;
4;TRANSFERENCIAS CORRIENTES;1.323,54;;1.323,54;
48; A familias e instituciones sin fines de lucro;1.321,54;;1.321,54;
49; Al exterior;2,00;;2,00;
6;INVERSIONES REALES;1.200,00;;1.200,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;250,00;;250,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;950,00;;950,00;
8;ACTIVOS FINANCIEROS;48,00;;48,00;
83; Concesión de préstamos fuera del Sector Público;48,00;;48,00;
;TOTAL;30.486,00;;30.486,00;
;;



