;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 09 APORTACIONES AL MUTUALISMO ADMINISTRATIVO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;09.01;;Total;
1;GASTOS DE PERSONAL;2.281.136,60;;2.281.136,60;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.281.136,60;;2.281.136,60;
;TOTAL CONSOLIDADO;2.281.136,60;;2.281.136,60;
4;TRANSFERENCIAS CORRIENTES;98.330,95;;98.330,95;
41; A Organismos Autónomos;98.330,95;;98.330,95;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;98.330,95;;98.330,95;
;TOTAL;2.379.467,55;;2.379.467,55;
;;



