Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;923S;1;GASTOS DE PERSONAL;2.281.136,60;2.281.136.600,00
1;923S;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.281.136,60;2.281.136.600,00
1;923S;16001;MUFACE;1.487.704,46;1.487.704.460,00
1;923S;16002;ISFAS;699.991,84;699.991.840,00
1;923S;16003;MUGEJU;93.440,30;93.440.300,00
—;—;—;TOTAL Aportaciones al Mutualismo Administrativo;2.281.136,60;2.281.136.600,00
000X;—;4;TRANSFERENCIAS CORRIENTES;98.330,95;98.330.950,00
000X;—;41;A Organismos Autónomos;98.330,95;98.330.950,00
000X;—;411;Aportación del Estado a MUFACE, ISFAS y MUGEJU (según normativa vigente);98.330,95;98.330.950,00
—;—;—;TOTAL Transferencias y libramientos internos;98.330,95;98.330.950,00
—;—;—;TOTAL DIRECCIÓN GENERAL DE PRESUPUESTOS;2.379.467,55;2.379.467.550,00
—;—;—;TOTAL APORTACIONES AL MUTUALISMO ADMINISTRATIVO;2.379.467,55;2.379.467.550,00
;;;;;
;;;;;
;;;;;
;;;;;
