Económica;Explicación;09.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.281.136,60;2.281.136,60;2.281.136.600,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.281.136,60;2.281.136,60;2.281.136.600,00
—;TOTAL CONSOLIDADO;—;2.281.136,60;2.281.136.600,00
4;TRANSFERENCIAS CORRIENTES;98.330,95;98.330,95;98.330.950,00
41;A Organismos Autónomos;98.330,95;98.330,95;98.330.950,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;98.330,95;98.330.950,00
—;TOTAL;—;2.379.467,55;2.379.467.550,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
