;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 105 CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;;;
v;337A;;Administración del Patrimonio Histórico-Nacional;;;
v;;1;GASTOS DE PERSONAL;;;
;;10;Altos cargos;;132,23;
;;100;Retribuciones básicas y otras remuneraciones;;132,23;
;;10000;  Retribuciones básicas;38,26;;
;;10001;  Retribuciones complementarias;93,97;;
;;11;Personal eventual;;1.660,83;
;;110;Retribuciones básicas y otras remuneraciones;;1.660,83;
;;11000;  Retribuciones básicas;721,92;;
;;11001;  Retribuciones complementarias;938,91;;
;;12;Funcionarios;;9.442,07;
;;120;Retribuciones básicas;;4.128,40;
;;12000;  Sueldos del grupo A1 y grupo A;767,69;;
;;12001;  Sueldos del grupo A2 y grupo B;1.008,32;;
;;12002;  Sueldos del grupo C1 y grupo C;751,64;;
;;12003;  Sueldos del grupo C2 y grupo D;196,79;;
;;12005;  Trienios;1.080,34;;
;;12006;  Pagas extraordinarias;323,62;;
;;121;Retribuciones complementarias;;5.313,67;
;;12100;  Complemento de destino;1.644,01;;
;;12101;  Complemento específico;2.095,88;;
;;12102;  Indemnización por residencia;1,97;;
;;12103;  Otros complementos;1.571,81;;
;;13;Laborales;;27.580,19;
;;130;Laboral fijo;;25.564,75;
;;13000;  Retribuciones básicas;22.161,67;;
;;13001;  Otras remuneraciones;3.403,08;;
;;131;Laboral eventual;;2.015,44;
;;14;Otro personal;;7.105,00;
;;143;Otro personal;;7.105,00;
;;14301;  Ámbito de colaboración con el SEPE para el fomento de la empleabilidad;1.105,00;;
;;14302;  Escuelas Taller y Talleres de Empleo;6.000,00;;
v;;15;Incentivos al rendimiento;;1.625,16;
v;;150;Productividad;;1.172,38;
v;;151;Gratificaciones;;5,74;
v;;154;Otras gratificaciones por Actos de Estado;;447,04;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;12.369,10;
;;160;Cuotas sociales;;11.341,65;
v;;16000;  Seguridad Social;11.341,65;;
;;162;Gastos sociales del personal;;1.027,45;
v;;16200;  Formación y perfeccionamiento del personal;136,20;;
v;;16204;  Acción social;111,25;;
;;16209;  Otros;780,00;;
;;;TOTAL GASTOS DE PERSONAL;;59.914,58;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;50,50;
;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;44,50;
;;206;Arrendamientos de equipos para procesos de información;;6,00;
;;21;Reparaciones, mantenimiento y conservación;;6.639,77;
;;210;Infraestructura y bienes naturales;;1.072,86;
;;212;Edificios y otras construcciones;;491,29;
;;213;Maquinaria, instalaciones y utillaje;;2.270,20;
;;214;Elementos de transporte;;95,11;
;;215;Mobiliario y enseres;;28,00;
;;216;Equipos para procesos de la información;;2.682,31;
;;22;Material, suministros y otros;;34.819,73;
;;220;Material de oficina;;72,38;
;;22000;  Ordinario no inventariable;58,88;;
;;22001;  Prensa, revistas, libros y otras publicaciones;4,50;;
;;22002;  Material informático no inventariable;9,00;;
;;221;Suministros;;4.962,93;
;;22100;  Energía eléctrica;2.583,49;;
;;22101;  Agua;924,02;;
;;22102;  Gas;322,00;;
;;22103;  Combustible;378,00;;
;;22104;  Vestuario;393,80;;
;;22105;  Alimentación;70,13;;
;;22106;  Productos farmacéuticos y material sanitario;20,49;;
;;22108;  Suministros de material deportivo, didáctico y cultural;0,60;;
v;;22109;  Labores Fábrica Nacional Moneda y Timbre;1,00;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;90,80;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;18,00;;
;;22199;  Otros suministros;160,60;;
;;222;Comunicaciones;;5,15;
;;22200;  Servicios de telecomunicaciones;0,50;;
;;22201;  Postales y mensajería;4,65;;
;;223;Transportes;;2,90;
;;224;Primas de seguros;;116,50;
;;225;Tributos;;1.091,80;
;;226;Gastos diversos;;5.189,67;
v;;22601;  Atenciones protocolarias y representativas;5,00;;
;;22602;  Publicidad y propaganda;870,00;;
;;22603;  Jurídicos, contenciosos;10,00;;
;;22606;  Reuniones, conferencias y cursos;321,55;;
;;22610;  Gastos deriv. Párrafo 1.Art.2 Ley 23/82;2.751,71;;
v;;22611;  Gastos protocolarios y representativos derivados de actos institucionales.;73,50;;
;;22613;  Gastos diversos de Escuelas Taller y Talleres Empleo;1.080,00;;
;;22699;  Otros;77,91;;
;;227;Trabajos realizados por otras empresas y profesionales;;23.378,40;
;;22700;  Limpieza y aseo;4.211,73;;
;;22701;  Seguridad;15.695,30;;
;;22706;  Estudios y trabajos técnicos;212,53;;
;;22799;  Otros;3.258,84;;
;;23;Indemnizaciones por razón del servicio;;405,70;
;;230;Dietas;;92,45;
;;231;Locomoción;;56,80;
;;233;Otras indemnizaciones;;256,45;
;;24;Gastos de publicaciones;;168,12;
;;240;Gastos de edición y distribución;;168,12;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;42.083,82;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;20,00;
v;;359;Otros gastos financieros;;20,00;
;;;TOTAL GASTOS FINANCIEROS;;20,00;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;210,00;
v;;482;Becas;;90,00;
v;;483;Convenio Monasterio de Yuste;;70,00;
v;;484;Pensiones a personal laboral;;50,00;
v;;49;Al exterior;;13,54;
v;;490;Cuota a la Asociación de Residencias Reales Europeas (ARRE);;8,80;
v;;491;Cuota al Consejo Internacional de Museos (ICOM);;0,63;
v;;492;Cuota a la Asociación para la Defensa de los Monumentos y de los Sitios Histórico-Artísticos (ICOMOS);;3,00;
v;;493;Cuota al Consejo Internacional de Restauradores de arte holandés y flamenco (CODART);;1,00;
v;;494;Cuota al Centro Internacional de Estudios de Telas Antiguas (CIETA);;0,11;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;223,54;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;5.836,59;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;5.836,59;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;9.563,59;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;9.563,59;
;;64;Gastos de inversiones de carácter inmaterial;;2.499,60;
;;640;Gastos en inversiones de carácter inmaterial;;2.499,60;
;;;TOTAL INVERSIONES REALES;;17.899,78;
 ; ;;;;;
v;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;500,00;
v;;741;A la Sociedad "Hipódromo de la Zarzuela, S.A.". Deudas de ejercicios anteriores;;500,00;
;;;TOTAL TRANSFERENCIAS DE CAPITAL;;500,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;440,00;
v;;830;Préstamos a corto plazo;;40,00;
;;83008;  Familias e instituciones sin fines de lucro;40,00;;
v;;831;Préstamos a largo plazo;;400,00;
;;83108;  Familias e instituciones sin fines de lucro;400,00;;
;;;TOTAL ACTIVOS FINANCIEROS;;440,00;
 ; ;;;;;
v;;9;PASIVOS FINANCIEROS;;;
v;;94;Devolución de depósitos y fianzas;;50,00;
v;;941;Devolución de fianzas;;50,00;
;;;TOTAL PASIVOS FINANCIEROS;;50,00;
 ; ;;;;;
;;;TOTAL Administración del Patrimonio Histórico-Nacional;;121.131,72;
 ; ;;;;;
 ; ;;;;;
v;337D;;Administración de los Reales Patronatos;;;
v;;1;GASTOS DE PERSONAL;;;
;;13;Laborales;;671,90;
;;130;Laboral fijo;;599,84;
;;13000;  Retribuciones básicas;518,00;;
;;13001;  Otras remuneraciones;81,84;;
;;131;Laboral eventual;;72,06;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;325,30;
;;160;Cuotas sociales;;300,00;
v;;16000;  Seguridad Social;300,00;;
;;162;Gastos sociales del personal;;25,30;
