;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Total;
231F; Otros servicios sociales del Estado;7.578,17;1.959,04;;443.137,35;57,50;8.293,00;6,51;461.031,57;461.031,57;
231G; Atención a la infancia y a las familias;721,00;1.308,05;;1.083,93;;;;3.112,98;3.112,98;
232F; Derechos de los animales;567,81;2.298,90;;4.615,00;;;;7.481,71;7.481,71;
239N; Dirección y Servicios Generales de Derechos Sociales y Agenda 2030;19.679,17;7.939,69;;11,30;1.942,00;;42,88;29.615,04;29.615,04;
313C; Seguridad alimentaria y nutrición;10.990,30;5.350,37;5,00;;3.168,72;;30,00;19.544,39;19.544,39;
492O; Protección y promoción de los derechos de los consumidores y usuarios;8.405,13;2.584,19;5,00;5.585,46;980,00;;;17.559,78;17.559,78;
496M; Regulación del juego;2.332,15;4.065,60;;2.225,00;3.741,85;;;12.364,60;12.364,60;
498M; Dirección y Servicios Generales de Consumo;1.390,43;1.943,88;;;20,00;;50,00;3.404,31;3.404,31;
921Y; Agenda 2030;1.790,53;3.454,44;;19.400,00;;;;24.644,97;24.644,97;
;TOTAL CONSOLIDADO;53.454,69;30.904,16;10,00;476.058,04;9.910,07;8.293,00;129,39;578.759,35;578.759,35;
000X; Transferencias y libramientos internos;;;;3.678.265,00;;13.723,95;;3.691.988,95;3.691.988,95;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;3.678.265,00;;13.723,95;;3.691.988,95;3.691.988,95;
;TOTAL;53.454,69;30.904,16;10,00;4.154.323,04;9.910,07;22.016,95;129,39;4.270.748,30;4.270.748,30;
;;



