Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;164.221,54;164.221.540,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;73.644,54;73.644.540,00
3;GASTOS FINANCIEROS;398,2;398.200,00
4;TRANSFERENCIAS CORRIENTES;23.579,73;23.579.730,00
—;TOTAL OPERACIONES CORRIENTES;261.844,01;261.844.010,00
6;INVERSIONES REALES;6.113,16;6.113.160,00
—;TOTAL OPERACIONES DE CAPITAL;6.113,16;6.113.160,00
—;TOTAL OPERACIONES NO FINANCIERAS;267.957,17;267.957.170,00
8;ACTIVOS FINANCIEROS;25;25.000,00
—;TOTAL Capítulos 1–8;267.982,17;267.982.170,00
9;PASIVOS FINANCIEROS;25,00;25.000,00
—;TOTAL Capítulo 9;25;25.000,00
—;TOTAL PRESUPUESTO;268.007,17;268.007.170,00
—;TOTAL CONSOLIDADO;268.007,17;268.007.170,00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
