;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 02 CORTES GENERALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;CORTES GENERALES;;;
v;;911N;;Actividad legislativa;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;51.525,12;
;;;125;Retribuciones básicas y complementarias de Funcionarios de las Cortes;;51.525,12;
v;;;15;Incentivos al rendimiento;;90,00;
v;;;150;Productividad;;90,00;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;13.855,00;
;;;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;;13.855,00;
;;;;TOTAL GASTOS DE PERSONAL;;65.470,12;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;0,64;
;;;207;Alquileres;;0,64;
v;;;22;Material, suministros y otros;;2.562,93;
;;;220;Material de oficina;;2.562,93;
v;;;23;Indemnizaciones por razón del servicio;;151,00;
;;;234;Dietas, locomoción y otras indemnizaciones;;151,00;
v;;;24;Gastos de publicaciones;;172,30;
;;;240;Gastos de edición y distribución;;172,30;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.886,87;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;34;De depósitos y fianzas;;3,50;
v;;;340;Intereses de depósitos;;3,50;
;;;;TOTAL GASTOS FINANCIEROS;;3,50;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;2.992,36;
v;;;480;A Familias e Instituciones sin fines de lucro;;2.992,36;
v;;;49;Al exterior;;700,00;
v;;;490;Al exterior;;700,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;3.692,36;
 ; ;;;;;;
;;;;TOTAL Actividad legislativa;;72.052,85;
 ; ;;;;;;
;;;;TOTAL CORTES GENERALES;;72.052,85;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;CONGRESO DE LOS DIPUTADOS;;;
v;;911N;;Actividad legislativa;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;22.371,60;
;;;101;Asignación Constitucional Señores Diputados;;22.371,60;
v;;;11;Personal eventual;;13.197,50;
;;;111;Personal eventual de las Cortes;;13.197,50;
v;;;12;Funcionarios;;1.968,60;
;;;125;Retribuciones básicas y complementarias de Funcionarios de las Cortes;;1.968,60;
v;;;13;Laborales;;6.192,40;
;;;135;Retribuciones del personal laboral de las Cortes;;6.192,40;
v;;;15;Incentivos al rendimiento;;100,00;
v;;;150;Productividad;;100,00;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;6.624,00;
;;;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;;6.624,00;
;;;;TOTAL GASTOS DE PERSONAL;;50.454,10;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;505,05;
;;;207;Alquileres;;505,05;
v;;;21;Reparaciones, mantenimiento y conservación;;6.135,20;
;;;217;Gastos diversos de reparación y conservación;;6.135,20;
v;;;22;Material, suministros y otros;;27.777,55;
;;;220;Material de oficina;;27.777,55;
v;;;23;Indemnizaciones por razón del servicio;;10.571,50;
;;;234;Dietas, locomoción y otras indemnizaciones;;10.571,50;
v;;;24;Gastos de publicaciones;;428,70;
;;;240;Gastos de edición y distribución;;428,70;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;45.418,00;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;34;De depósitos y fianzas;;4,00;
v;;;340;Intereses de depósitos;;4,00;
;;;;TOTAL GASTOS FINANCIEROS;;4,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;11.854,30;
v;;;480;A Familias e Instituciones sin fines de lucro;;11.854,30;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;11.854,30;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;463,15;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;463,15;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.071,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.071,00;
;;;64;Gastos de inversiones de carácter inmaterial;;1.156,75;
;;;640;Gastos en inversiones de carácter inmaterial;;1.156,75;
;;;;TOTAL INVERSIONES REALES;;2.690,90;
 ; ;;;;;;
;;;;TOTAL Actividad legislativa;;110.421,30;
 ; ;;;;;;
;;;;TOTAL CONGRESO DE LOS DIPUTADOS;;110.421,30;
 ; ;;;;;;
 ; ;;;;;;
v;03;;;SENADO;;;
v;;911N;;Actividad legislativa;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;17.301,83;
;;;101;Asignación Constitucional Señores Senadores;;17.301,83;
v;;;11;Personal eventual;;4.104,99;
;;;111;Personal eventual de las Cortes;;4.104,99;
v;;;13;Laborales;;5.818,87;
;;;135;Retribuciones del personal laboral de las Cortes;;5.818,87;
v;;;15;Incentivos al rendimiento;;899,67;
v;;;150;Productividad;;899,67;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.202,56;
;;;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.202,56;
;;;;TOTAL GASTOS DE PERSONAL;;31.327,92;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;553,95;
;;;207;Alquileres;;553,95;
v;;;21;Reparaciones, mantenimiento y conservación;;699,94;
;;;217;Gastos diversos de reparación y conservación;;699,94;
v;;;22;Material, suministros y otros;;11.981,11;
;;;220;Material de oficina;;11.981,11;
v;;;23;Indemnizaciones por razón del servicio;;8.503,03;
;;;234;Dietas, locomoción y otras indemnizaciones;;8.503,03;
v;;;24;Gastos de publicaciones;;280,80;
;;;240;Gastos de edición y distribución;;280,80;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;22.018,83;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;388,00;
v;;;350;Intereses de demora y otros gastos financieros;;388,00;
;;;;TOTAL GASTOS FINANCIEROS;;388,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;37,50;
v;;;430;A Agencias Estatales y otros Organismos Públicos;;37,50;
v;;;48;A familias e instituciones sin fines de lucro;;7.786,75;
v;;;480;A familias e instituciones sin fines de lucro;;7.786,75;
v;;;49;Al exterior;;2,19;
v;;;490;Al exterior;;2,19;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;7.826,44;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;298,60;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;298,60;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.576,51;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.576,51;
;;;64;Gastos de inversiones de carácter inmaterial;;650,15;
;;;640;Gastos en inversiones de carácter inmaterial;;650,15;
;;;;TOTAL INVERSIONES REALES;;2.525,26;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
