Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;31.536,02;31.536.020,00
15;Incentivos al rendimiento;1.704,53;1.704.530,00
150;Productividad;1.680,43;1.680.430,00
151;Gratificaciones;24,1;24.100,00
16000;Seguridad Social;2.809,75;2.809.750,00
16200;Formación y perfeccionamiento del personal;36;36.000,00
16204;Acción social;155,74;155.740,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.455,30;6.455.300,00
202;Arrendamientos de edificios y otras construcciones;166,5;166.500,00
22.109;Labores Fábrica Nacional de Moneda y Timbre;1,4;1.400,00
22502;Locales;614,46;614.460,00
22601;Atenciones protocolarias y representativas;2,34;2.340,00
3;GASTOS FINANCIEROS;137,03;137.030,00
352;Intereses de demora;60;60.000,00
359;Otros gastos financieros;77,03;77.030,00
4;TRANSFERENCIAS CORRIENTES;278.889,32;278.889.320,00
480;Subsidios e indemnizaciones;191.683,00;191.683.000,00
481;Protección a la familia;39.500,00;39.500.000,00
482;Servicios sociales;17.969,64;17.969.640,00
483;Asistencia social;567,5;567.500,00
486;Prestaciones económicas Mutualidades integradas;29.169,18;29.169.180,00
6;INVERSIONES REALES;3.290,86;3.290.860,00
8;ACTIVOS FINANCIEROS;180,3;180.300,00
830;Préstamos a corto plazo;80,3;80.300,00
831;Préstamos a largo plazo;100;100.000,00
—;TOTAL PROGRAMA 222M – MUFACE;320.488,83;320.488.830,00
