Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;31.536,02;31.536.020,00
10;Altos cargos;61,04;61.040,00
12;Funcionarios;24.605,58;24.605.580,00
13;Laborales;2.110,62;2.110.620,00
15;Incentivos al rendimiento;1.704,53;1.704.530,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.054,25;3.054.250,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.455,30;6.455.300,00
20;Arrendamientos y cánones;166,5;166.500,00
21;Reparaciones, mantenimiento y conservación;299,61;299.610,00
22;Material, suministros y otros;5.795;5.794.730,00
23;Indemnizaciones por razón del servicio;59,46;59.460,00
24;Gastos de publicaciones;135;135.000,00
3;GASTOS FINANCIEROS;137,03;137.030,00
35;Intereses de demora y otros gastos financieros;137,03;137.030,00
4;TRANSFERENCIAS CORRIENTES;278.889,32;278.889.320,00
48;A familias e instituciones sin fines de lucro;278.889,32;278.889.320,00
6;INVERSIONES REALES;3.290,86;3.290.860,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;38,48;38.480,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;431,34;431.340,00
64;Gastos de inversiones de carácter inmaterial;2.821,04;2.821.040,00
8;ACTIVOS FINANCIEROS;180,3;180.300,00
83;Concesión de préstamos fuera del Sector Público;180,3;180.300,00
—;TOTAL PROGRAMA 222M – MUFACE;320.488,83;320.488.830,00
