;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 33 MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;
;Programa: 46OG C15.I07 Ciberseguridad: Fortalecimiento de las capacidades de ciudadanos, PYMES y profesionales. e Impulso del ecosistema del sector;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
33.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;44002; A INCIBE para gastos en el impulso de España como nodo internacional en el ámbito de la ciberseguridad. Mecanismo de Recuperación y Resiliencia;2.620,00;;
;74005; A INCIBE para el fortalecimiento de la ciberseguridad de ciudadanos, PYMES y profesionales. Mecanismo de Recuperación y Resiliencia;26.400,00;;
;74006; A INCIBE para el impulso del ecosistema empresarial del sector ciberseguridad. Mecanismo de Recuperación y Resiliencia;92.300,00;;
;74014; A INCIBE para programas de ayudas en ciberseguridad. Mecanismo de Recuperación y Resiliencia;10.300,00;;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;131.620,00;
 ; ;;;;
 ; ;;;;
;;TOTAL C15.I07 Ciberseguridad: Fortalecimiento de las capacidades de ciudadanos, PYMES y profesionales. e Impulso del ecosistema del sector;;131.620,00;
;;



