;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por capítulos del presupuesto de gastos;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;60.225,00;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;710.792,52;
3; GASTOS FINANCIEROS;270,00;
4; TRANSFERENCIAS CORRIENTES;34.820.838,35;
;TOTAL OPERACIONES CORRIENTES;35.592.125,87;
6; INVERSIONES REALES;14.281,00;
7; TRANSFERENCIAS DE CAPITAL;1.540,20;
;TOTAL OPERACIONES DE CAPITAL;15.821,20;
;TOTAL OPERACIONES NO FINANCIERAS;35.607.947,07;
8; ACTIVOS FINANCIEROS;10.005.661,15;
;TOTAL PRESUPUESTO;45.613.608,22;
4; TRANSFERENCIAS CORRIENTES;-34.721.929,32;
7; TRANSFERENCIAS DE CAPITAL;-1.240,20;
8; ACTIVOS FINANCIEROS;-10.003.806,15;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-44.726.975,67;
;TOTAL CONSOLIDADO;886.632,55;
;;



