;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;291M;;Dirección y Servicios Generales de la Inclusión, de la Seguridad Social y de la Migración;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;269,56;
;;;100;Retribuciones básicas y otras remuneraciones;;269,56;
;;;10000; Retribuciones básicas;133,49;;
;;;10001; Retribuciones complementarias;136,07;;
v;;;11;Personal eventual;;539,57;
;;;110;Retribuciones básicas y otras remuneraciones;;539,57;
;;;11000; Retribuciones básicas;196,26;;
;;;11001; Retribuciones complementarias;343,31;;
v;;;12;Funcionarios;;13.383,77;
;;;120;Retribuciones básicas;;4.283,28;
;;;12000; Sueldos del grupo A1 y grupo A;780,25;;
;;;12001; Sueldos del grupo A2 y grupo B;714,00;;
;;;12002; Sueldos del grupo C1 y grupo C;870,40;;
;;;12003; Sueldos del grupo C2 y grupo D;625,00;;
;;;12005; Trienios;624,15;;
;;;12006; Pagas extraordinarias;669,48;;
;;;121;Retribuciones complementarias;;9.100,49;
;;;12100; Complemento de destino;2.100,29;;
;;;12101; Complemento específico;4.385,20;;
;;;12181; Necesidades adicionales;2.615,00;;
v;;;13;Laborales;;1.437,60;
;;;130;Laboral fijo;;1.369,86;
;;;13000; Retribuciones básicas;1.254,86;;
;;;13001; Otras remuneraciones;115,00;;
;;;131;Laboral eventual;;67,74;
v;;;15;Incentivos al rendimiento;;3.857,08;
v;;;150;Productividad;;3.647,66;
v;;;151;Gratificaciones;;209,42;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.933,01;
;;;160;Cuotas sociales;;2.894,45;
v;;;16000; Seguridad Social;2.894,45;;
;;;162;Gastos sociales del personal;;1.038,56;
v;;;16200; Formación y perfeccionamiento del personal;477,90;;
v;;;16204; Acción social;293,05;;
;;;16205; Seguros;112,78;;
;;;16209; Otros;154,83;;
;;;;TOTAL GASTOS DE PERSONAL;;23.420,59;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;1.254,49;
v;;;202;Arrendamientos de edificios y otras construcciones;;1.161,00;
;;;206;Arrendamientos de equipos para procesos de información;;93,49;
v;;;21;Reparaciones, mantenimiento y conservación;;2.329,03;
;;;212;Edificios y otras construcciones;;320,00;
;;;213;Maquinaria, instalaciones y utillaje;;835,00;
;;;214;Elementos de transporte;;1,00;
;;;215;Mobiliario y enseres;;73,03;
;;;216;Equipos para procesos de la información;;1.100,00;
v;;;22;Material, suministros y otros;;15.463,08;
;;;220;Material de oficina;;419,46;
;;;22000; Ordinario no inventariable;156,00;;
;;;22001; Prensa, revistas, libros y otras publicaciones;159,46;;
;;;22002; Material informático no inventariable;104,00;;
;;;221;Suministros;;1.650,53;
;;;22100; Energía eléctrica;679,26;;
;;;22101; Agua;63,52;;
;;;22102; Gas;100,00;;
;;;22103; Combustible;131,00;;
;;;22104; Vestuario;23,00;;
;;;22105; Alimentación;91,65;;
;;;22106; Productos farmacéuticos y material sanitario;10,00;;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;1,00;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;15,10;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;11,00;;
;;;22199; Otros suministros;525,00;;
;;;222;Comunicaciones;;6,50;
;;;22200; Servicios de telecomunicaciones;0,50;;
;;;22201; Postales y mensajería;6,00;;
;;;223;Transportes;;540,00;
;;;224;Primas de seguros;;20,81;
;;;225;Tributos;;711,20;
;;;22500; Estatales;1,20;;
v;;;22502; Locales;710,00;;
;;;226;Gastos diversos;;6.473,76;
v;;;22601; Atenciones protocolarias y representativas;94,15;;
;;;22602; Publicidad y propaganda;6.200,00;;
;;;22603; Jurídicos, contenciosos;50,00;;
;;;22606; Reuniones, conferencias y cursos;129,07;;
;;;22607; Oposiciones y pruebas selectivas;0,54;;
;;;227;Trabajos realizados por otras empresas y profesionales;;5.640,82;
;;;22700; Limpieza y aseo;1.062,43;;
;;;22701; Seguridad;1.422,66;;
;;;22702; Valoraciones y peritajes;20,00;;
;;;22704; Custodia, depósito y almacenaje;137,00;;
;;;22706; Estudios y trabajos técnicos;2.669,47;;
;;;22799; Otros;329,26;;
v;;;23;Indemnizaciones por razón del servicio;;1.232,50;
;;;230;Dietas;;349,41;
;;;231;Locomoción;;591,56;
;;;233;Otras indemnizaciones;;291,53;
v;;;24;Gastos de publicaciones;;230,00;
;;;240;Gastos de edición y distribución;;230,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;20.509,10;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;70,00;
v;;;352;Intereses de demora;;70,00;
;;;;TOTAL GASTOS FINANCIEROS;;70,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;90,00;
v;;;440;Subvenciones a universidades públicas para la realización de prácticas;;90,00;
v;;;45;A Comunidades Autónomas;;90,00;
v;;;450;Subvenciones a universidades públicas para la realización de prácticas;;90,00;
v;;;49;Al exterior;;201,24;
v;;;491;Aportaciones para realización de programas y otros;;201,24;
;;;49100; Para ejecución de proyectos de ámbito internacional;201,24;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;381,24;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.060,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.060,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;11.721,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;11.721,00;
;;;64;Gastos de inversiones de carácter inmaterial;;500,00;
;;;640;Gastos en inversiones de carácter inmaterial;;500,00;
;;;;TOTAL INVERSIONES REALES;;13.281,00;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;50,00;
v;;;831;Préstamos a largo plazo;;50,00;
;;;83108; Familias e instituciones sin fines de lucro;50,00;;
v;;;84;Constitución de depósitos y fianzas;;5,00;
v;;;841;Fianzas;;5,00;
;;;;TOTAL ACTIVOS FINANCIEROS;;55,00;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de la Inclusión, de la Seguridad Social y de la Migración;;57.716,93;
 ; ;;;;;;
;;;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;57.716,93;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES;;;
v;;212A;;Pensiones no contributivas y prestaciones asistenciales;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;4.100,00;
v;;;481;Prestaciones asistenciales;;4.100,00;
;;;48100; A ancianos y enfermos incapacitados para el trabajo en estado de necesidad;4.100,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;4.100,00;
 ; ;;;;;;
;;;;TOTAL Pensiones no contributivas y prestaciones asistenciales;;4.100,00;
 ; ;;;;;;
v;;219N;;Gestión de pensiones de Clases Pasivas;;;
