Económica;Explicación;24.05 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;327,76;327,76;327.760,00
12;Funcionarios;288,54;288,54;288.540,00
13;Laborales;24,14;24,14;24.140,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;15,08;15,08;15.080,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;779,29;779,29;779.290,00
20;Arrendamientos y cánones;17;17;17.000,00
21;Reparaciones, mantenimiento y conservación;14;14;14.000,00
22;Material, suministros y otros;748,29;748,29;748.290,00
4;TRANSFERENCIAS CORRIENTES;460;460;460.000,00
46;A Entidades Locales;100;100;100.000,00
47;A empresas privadas;300;300;300.000,00
48;A familias e instituciones sin fines de lucro;60;60;60.000,00
6;INVERSIONES REALES;27,24;27,24;27.240,00
62;Inversión nueva asociada al funcionamiento operativo;27,24;27,24;27.240,00
—;TOTAL PROGRAMA 333B – Exposiciones;—;1.594,29;1.594.290,00
