Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
24.03;22;Material, suministros y otros;359,81;359.810,00
24.03;23;Indemnizaciones por razón del servicio;100;100.000,00
24.03;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;459,81;459.810,00
24.03;48801;A la OEPLI;5;5.000,00
24.03;48802;A la Federación de Gremios de Editores de España;171,6;171.600,00
24.03;490;Cuotas y ayudas culturales al exterior;482;482.000,00
24.03;—;TOTAL TRANSFERENCIAS CORRIENTES;658,6;658.600,00
24.03;—;TOTAL DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;1.118,41;1.118.410,00
24.05;21;Reparaciones, mantenimiento y conservación;2,07;2.070,00
24.05;22;Material, suministros y otros;63,56;63.560,00
24.05;23;Indemnizaciones por razón del servicio;74,42;74.420,00
24.05;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;140,05;140.050,00
24.05;489;Premio Velázquez de Artes Plásticas;100;100.000,00
24.05;—;TOTAL TRANSFERENCIAS CORRIENTES;100;100.000,00
24.05;—;INVERSIONES REALES;5,39;5.390,00
24.05;753;Ayudas a excavaciones arqueológicas (CCAA);370;370.000,00
24.05;788;Ayudas a excavaciones arqueológicas (familias e instituciones);56;56.000,00
24.05;—;TOTAL TRANSFERENCIAS DE CAPITAL;426;426.000,00
24.05;—;TOTAL DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;671,44;671.440,00
24.06;12;Funcionarios;315,39;315.390,00
24.06;16000;Seguridad Social;18,28;18.280,00
24.06;—;TOTAL GASTOS DE PERSONAL;333,67;333.670,00
24.06;20;Arrendamientos y cánones;2;2.000,00
24.06;22;Material, suministros y otros;722,2;722.200,00
24.06;23;Indemnizaciones por razón del servicio;92,35;92.350,00
24.06;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;816,55;816.550,00
24.06;483;Premio Luso Español;37,5;37.500,00
24.06;485;Cooperación cultural y becas;349,5;349.500,00
24.06;489;Otras ayudas y subvenciones;322,99;322.990,00
24.06;490;Ayudas a proyectos culturales en el exterior;322,5;322.500,00
24.06;—;TOTAL TRANSFERENCIAS CORRIENTES;1.032,49;1.032.490,00
24.06;—;TOTAL SECRETARÍA DE ESTADO DE CULTURA;2.182,71;2.182.710,00
24.103;—;GASTOS CORRIENTES EN BIENES Y SERVICIOS;612,24;612.240,00
24.103;490;Cuotas y participación en programas culturales;3.338,50;3.338.500,00
24.103;—;TOTAL INSTITUTO DE LA CINEMATOGRAFÍA Y DE LAS ARTES AUDIOVISUALES;3.950,74;3.950.740,00
24.107;—;GASTOS CORRIENTES EN BIENES Y SERVICIOS;380,79;380.790,00
24.107;450;Ayudas a entidades musicales y teatrales (CCAA);67,38;67.380,00
24.107;460;Ayudas a entidades musicales y teatrales (Locales);67,38;67.380,00
24.107;471;Ayudas a orquestas, teatro, danza, circo;1.111,45;1.111.450,00
24.107;482;Becas y ayudas a personas y asociaciones;254,59;254.590,00
24.107;494;Contribuciones y cuotas internacionales;485,88;485.880,00
24.107;—;TOTAL TRANSFERENCIAS CORRIENTES;1.986,68;1.986.680,00
24.107;—;TOTAL INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA;2.367,47;2.367.470,00
—;—;TOTAL PROGRAMA 144A;10.290,77;10.290.770,00
