;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 144A Cooperación, promoción y difusión cultural en el exterior;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.03;24.05;24.06;24.103;24.107;Total;
1;GASTOS DE PERSONAL;;;333,67;;;333,67;
12; Funcionarios;;;315,39;;;315,39;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;;18,28;;;18,28;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;459,81;140,05;816,55;612,24;380,79;2.409,44;
20; Arrendamientos y cánones;;;2,00;2,00;;4,00;
21; Reparaciones, mantenimiento y conservación;;2,07;;;;2,07;
22; Material, suministros y otros;359,81;63,56;722,20;527,00;233,93;1.906,50;
23; Indemnizaciones por razón del servicio;100,00;74,42;92,35;83,24;146,86;496,87;
4;TRANSFERENCIAS CORRIENTES;658,60;100,00;1.032,49;3.338,50;1.986,68;7.116,27;
45; A Comunidades Autónomas;;;;;67,38;67,38;
46; A Entidades Locales;;;;;67,38;67,38;
47; A empresas privadas;;;;;1.111,45;1.111,45;
48; A familias e instituciones sin fines de lucro;176,60;100,00;709,99;;254,59;1.241,18;
49; Al exterior;482,00;;322,50;3.338,50;485,88;4.628,88;
6;INVERSIONES REALES;;5,39;;;;5,39;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;2,77;;;;2,77;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;2,62;;;;2,62;
7;TRANSFERENCIAS DE CAPITAL;;426,00;;;;426,00;
75; A Comunidades Autónomas;;370,00;;;;370,00;
78; A familias e instituciones sin fines de lucro;;56,00;;;;56,00;
;TOTAL;1.118,41;671,44;2.182,71;3.950,74;2.367,47;10.290,77;
;;



