;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 333B Exposiciones;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.05;;Total;
1;GASTOS DE PERSONAL;327,76;;327,76;
12; Funcionarios;288,54;;288,54;
13; Laborales;24,14;;24,14;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;15,08;;15,08;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;779,29;;779,29;
20; Arrendamientos y cánones;17,00;;17,00;
21; Reparaciones, mantenimiento y conservación;14,00;;14,00;
22; Material, suministros y otros;748,29;;748,29;
4;TRANSFERENCIAS CORRIENTES;460,00;;460,00;
46; A Entidades Locales;100,00;;100,00;
47; A empresas privadas;300,00;;300,00;
48; A familias e instituciones sin fines de lucro;60,00;;60,00;
6;INVERSIONES REALES;27,24;;27,24;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;27,24;;27,24;
;TOTAL;1.594,29;;1.594,29;
;;



