;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 337C Protección del Patrimonio Histórico;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.05;;Total;
1;GASTOS DE PERSONAL;2.569,64;;2.569,64;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;2.053,39;;2.053,39;
13; Laborales;157,55;;157,55;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;297,66;;297,66;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.050,64;;2.050,64;
20; Arrendamientos y cánones;15,00;;15,00;
22; Material, suministros y otros;1.745,64;;1.745,64;
23; Indemnizaciones por razón del servicio;290,00;;290,00;
3;GASTOS FINANCIEROS;5,00;;5,00;
35; Intereses de demora y otros gastos financieros;5,00;;5,00;
4;TRANSFERENCIAS CORRIENTES;1.573,83;;1.573,83;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;450,00;;450,00;
45; A Comunidades Autónomas;640,00;;640,00;
48; A familias e instituciones sin fines de lucro;425,00;;425,00;
49; Al exterior;58,83;;58,83;
6;INVERSIONES REALES;6.937,50;;6.937,50;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;6.724,50;;6.724,50;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;63,00;;63,00;
64; Gastos de inversiones de carácter inmaterial;150,00;;150,00;
7;TRANSFERENCIAS DE CAPITAL;660,00;;660,00;
76; A Entidades Locales;660,00;;660,00;
;TOTAL;13.796,61;;13.796,61;
;;



