Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
24.01;10;Altos cargos;208,56;208.560,00
24.01;11;Personal eventual;533,77;533.770,00
24.01;12;Funcionarios;16.178,87;16.178.870,00
24.01;13;Laborales;2.194,69;2.194.690,00
24.01;15;Incentivos al rendimiento;4.165,08;4.165.080,00
24.01;150;Productividad;4.077,83;4.077.830,00
24.01;151;Gratificaciones;87,25;87.250,00
24.01;16;Cuotas, prestaciones y gastos sociales;2.186,12;2.186.120,00
24.01;16000;Seguridad Social;1.453,81;1.453.810,00
24.01;16200;Formación y perfeccionamiento del personal;210,38;210.380,00
24.01;16204;Acción social;278,38;278.380,00
24.01;—;TOTAL GASTOS DE PERSONAL;25.467,09;25.467.090,00
24.01;20;Arrendamientos y cánones;104;104.000,00
24.01;202;Arrendamientos de edificios y otras construcciones;20;20.000,00
24.01;21;Reparaciones, mantenimiento y conservación;648;648.000,00
24.01;22;Material, suministros y otros;4.349,38;4.349.380,00
24.01;22502;Locales;235;235.000,00
24.01;22601;Atenciones protocolarias y representativas;28,67;28.670,00
24.01;23;Indemnizaciones por razón del servicio;758;758.000,00
24.01;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.859,38;5.859.380,00
24.01;35;Intereses de demora y otros gastos financieros;3,5;3.500,00
24.01;352;Intereses de demora;3,5;3.500,00
24.01;—;TOTAL GASTOS FINANCIEROS;3,5;3.500,00
24.01;48;A familias e instituciones sin fines de lucro;36,5;36.500,00
24.01;480;Pensiones complementarias del personal de MECSE;36,5;36.500,00
24.01;—;TOTAL TRANSFERENCIAS CORRIENTES;36,5;36.500,00
24.01;6;INVERSIONES REALES;3.547,00;3.547.000,00
24.01;83;Concesión de préstamos fuera del Sector Público;133,94;133.940,00
24.01;830;Préstamos a corto plazo;10,37;10.370,00
24.01;831;Préstamos a largo plazo;123,57;123.570,00
24.01;—;TOTAL ACTIVOS FINANCIEROS;133,94;133.940,00
24.01;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;35.047,41;35.047.410,00
24.02;—;TOTAL SECRETARÍA GENERAL TÉCNICA;4.187,68;4.187.680,00
24.04;—;TOTAL DIRECCIÓN GENERAL DE INDUSTRIAS CULTURALES, PROPIEDAD INTELECTUAL Y COOPERACIÓN;1.701,67;1.701.670,00
24.06;—;TOTAL SECRETARÍA DE ESTADO DE CULTURA;4.537,25;4.537.250,00
24.105;—;TOTAL GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS DE CULTURA;10.712,30;10.712.300,00
—;—;TOTAL PROGRAMA 331M;56.186,31;56.186.310,00
