;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 332A Archivos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.05;24.105;Total;
1;GASTOS DE PERSONAL;14.159,64;;14.159,64;
12; Funcionarios;8.554,48;;8.554,48;
13; Laborales;3.685,18;;3.685,18;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.919,98;;1.919,98;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.037,08;157,00;9.194,08;
20; Arrendamientos y cánones;;35,00;35,00;
21; Reparaciones, mantenimiento y conservación;1.222,81;12,00;1.234,81;
22; Material, suministros y otros;7.728,27;110,00;7.838,27;
23; Indemnizaciones por razón del servicio;86,00;;86,00;
3;GASTOS FINANCIEROS;;1,00;1,00;
35; Intereses de demora y otros gastos financieros;;1,00;1,00;
4;TRANSFERENCIAS CORRIENTES;301,31;;301,31;
45; A Comunidades Autónomas;20,00;;20,00;
48; A familias e instituciones sin fines de lucro;227,43;;227,43;
49; Al exterior;53,88;;53,88;
6;INVERSIONES REALES;2.780,00;21.200,00;23.980,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.980,00;8.600,00;10.580,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;100,00;12.600,00;12.700,00;
64; Gastos de inversiones de carácter inmaterial;700,00;;700,00;
7;TRANSFERENCIAS DE CAPITAL;75,00;;75,00;
78; A familias e instituciones sin fines de lucro;75,00;;75,00;
;TOTAL;26.353,03;21.358,00;47.711,03;
;;



