;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 334C Fomento de las industrias culturales;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.04;;Total;
1;GASTOS DE PERSONAL;732,29;;732,29;
12; Funcionarios;512,84;;512,84;
13; Laborales;141,14;;141,14;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;78,31;;78,31;
4;TRANSFERENCIAS CORRIENTES;1.500,00;;1.500,00;
47; A empresas privadas;1.500,00;;1.500,00;
7;TRANSFERENCIAS DE CAPITAL;3.940,00;;3.940,00;
77; A empresas privadas;3.940,00;;3.940,00;
8;ACTIVOS FINANCIEROS;11.000,00;;11.000,00;
82; Concesión de préstamos al Sector Público;11.000,00;;11.000,00;
;TOTAL;17.172,29;;17.172,29;
;;



