Económica;Explicación;24.05 ;24.105;24.301;24.302;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;29.445,63;—;23.234,26;19.291,77;71.971,66;71.971.660,00
10;Altos cargos;—;—;148,65;127,81;276,46;276.460,00
12;Funcionarios;11.271,61;—;58,69;4.049,42;15.379,72;15.379.720,00
13;Laborales;13.332,06;—;18.565,78;10.028,35;41.926,19;41.926.190,00
15;Incentivos al rendimiento;—;—;11;342,61;353,61;353.610,00
16;Cuotas, prestaciones y gastos sociales;4.841,96;—;4.450,14;4.743,58;14.035,68;14.035.680,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;21.764,61;40;20.548,27;18.086,23;60.439,11;60.439.110,00
20;Arrendamientos y cánones;442;—;445;328;1.215,00;1.215.000,00
21;Reparaciones, mantenimiento y conservación;2.700,00;15;1.450;2.214;6.379,00;6.379.000,00
22;Material, suministros y otros;18.522,61;25;18.048,27;15.324,23;51.920,11;51.920.110,00
23;Indemnizaciones por razón del servicio;100;—;155;20;275;275.000,00
24;Gastos de publicaciones;—;—;450;200;650;650.000,00
3;GASTOS FINANCIEROS;32;1;—;12;45;45.000,00
35;Intereses de demora y otros gastos financieros;32;1;—;12;45;45.000,00
4;TRANSFERENCIAS CORRIENTES;25.486,63;—;195;323;26.004,63;26.004.630,00
44–49;A entidades públicas, privadas y al exterior;25.486,63;—;195;323;26.004,63;26.004.630,00
6;INVERSIONES REALES;2.429,49;30.313,00;28.100,00;6.616,10;67.458,59;67.458.590,00
62;Inversión nueva asociada al funcionamiento operativo;586,4;8.300,00;5.100,00;5.250,00;19.236,40;19.236.400,00
63;Inversión de reposición asociada al funcionamiento operativo;1.275,00;22.013,00;22.900,00;1.300,00;47.488,00;47.488.000,00
64;Gastos de inversiones de carácter inmaterial;568,09;—;100;66,1;734,19;734.190,00
7;TRANSFERENCIAS DE CAPITAL;7.408,00;50;—;—;7.458,00;7.458.000,00
76–78;A entidades locales y sin fines de lucro;7.408,00;50;—;—;7.458,00;7.458.000,00
8;ACTIVOS FINANCIEROS;—;—;100;52,8;152,8;152.800,00
83;Concesión de préstamos fuera del Sector Público;—;—;100;52,8;152,8;152.800,00
—;TOTAL PROGRAMA 333A – Museos;86.566,36;30.404,00;72.177,53;44.381,90;233.529,79;233.529.790,00
