;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 24 MINISTERIO DE CULTURA;
;Programa: 334B Promoción del libro y publicaciones culturales;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;24.03;;Total;
1;GASTOS DE PERSONAL;2.045,34;;2.045,34;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;1.467,86;;1.467,86;
13; Laborales;265,76;;265,76;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;250,68;;250,68;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.580,84;;1.580,84;
21; Reparaciones, mantenimiento y conservación;156,00;;156,00;
22; Material, suministros y otros;1.241,84;;1.241,84;
23; Indemnizaciones por razón del servicio;183,00;;183,00;
4;TRANSFERENCIAS CORRIENTES;6.865,00;;6.865,00;
45; A Comunidades Autónomas;200,00;;200,00;
46; A Entidades Locales;1.580,00;;1.580,00;
47; A empresas privadas;1.900,00;;1.900,00;
48; A familias e instituciones sin fines de lucro;3.185,00;;3.185,00;
6;INVERSIONES REALES;45,00;;45,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;10,00;;10,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;10,00;;10,00;
64; Gastos de inversiones de carácter inmaterial;25,00;;25,00;
7;TRANSFERENCIAS DE CAPITAL;3.355,88;;3.355,88;
76; A Entidades Locales;1.100,00;;1.100,00;
77; A empresas privadas;1.690,88;;1.690,88;
78; A familias e instituciones sin fines de lucro;565,00;;565,00;
;TOTAL;13.892,06;;13.892,06;
;;



