Económica;Explicación;21.01;21.02;21.03;21.04;21.09;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;25.906,29;3.236,39;9.917,58;1.845,47;1.830,73;42.736,46;42.736.460,00 €
10;Altos cargos;208,53;61,02;61,02;71,15;71,15;472,87;472.870,00 €
11;Personal eventual;519,82;—;—;—;—;519,82;519.820,00 €
12;Funcionarios;14.827,27;2.573,03;6.677,38;1.584,77;1.483,12;27.145,57;27.145.570,00 €
13;Laborales;702,04;248,16;1.952,39;—;65,96;2.968,55;2.968.550,00 €
15;Incentivos al rendimiento;7.398,21;—;—;—;—;7.398,21;7.398.210,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.250,42;354,18;1.226,79;189,55;210,5;4.231,44;4.231.440,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.861,92;—;—;—;—;20.861,92;20.861.920,00 €
3;GASTOS FINANCIEROS;23,17;—;—;16,18;—;39,35;39.350,00 €
4;TRANSFERENCIAS CORRIENTES;19.502,25;33;—;70;—;19.605,25;19.605.250,00 €
6;INVERSIONES REALES;9.897,44;155,00;8.791,36;4.474,35;—;23.318,15;23.318.150,00 €
7;TRANSFERENCIAS DE CAPITAL;4.201,00;—;—;—;—;4.201,00;4.201.000,00 €
8;ACTIVOS FINANCIEROS;25.134,20;—;—;—;—;25.134,20;25.134.200,00 €
—;TOTAL PROGRAMA 411M – Dirección y Servicios Generales;105.526,27;3.424,39;18.708,94;6.406,00;1.830,73;135.896,33;135.896.330,00 €
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
