Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
21.01;4;Transferencias corrientes;280.163,40;280.163.400,00
21.01;41;A Organismos Autónomos;280.163,40;280.163.400,00
21.01;414;Entidad Estatal de Seguros Agrarios (ENESA);280.163,40;280.163.400,00
21.01;41400;Subvenciones del Plan Anual de Seguros Agrarios y liquidación de planes anteriores;275.735,35;275.735.350,00
21.01;7;Transferencias de capital;571,24;571.240,00
21.01;71;A Organismos Autónomos;571,24;571.240,00
21.01;714;ENESA;571,24;571.240,00
21.01;—;Total Ministerio, Subsecretaría y Servicios Generales;280.734,64;280.734.640,00
21.04;4;Transferencias corrientes;20.675,22;20.675.220,00
21.04;41;A Organismos Autónomos;20.675,22;20.675.220,00
21.04;412;Agencia de Información y Control Alimentarios (AICA);5.679,65;5.679.650,00
21.04;413;Fondo Español de Garantía Agraria (FEGA);14.845,57;14.845.570,00
21.04;415;MAPA – Financiación Nacional subvenciones producción agraria;150;150.000,00
21.04;7;Transferencias de capital;39.628,45;39.628.450,00
21.04;71;A Organismos Autónomos;39.628,45;39.628.450,00
21.04;712;AICA;1.540,00;1.540.000,00
21.04;713;FEGA;25.039,60;25.039.600,00
21.04;714;FEGA – Programa Nacional de Desarrollo Rural 2015–2020;13.048,85;13.048.850,00
21.04;—;Total Secretaría General de Recursos Agrarios y Seguridad Alimentaria;60.303,67;60.303.670,00
21.103;7;Transferencias de capital;16.179,72;16.179.720,00
21.103;70;A la Administración del Estado;15.209,12;15.209.120,00
21.103;700;Estado – Ayudas desarrollo rural. FEGA organismo pagador;15.209,12;15.209.120,00
21.103;71;A Organismos Autónomos;970,6;970.600,00
21.103;710;FEGA – Ayudas desarrollo rural. FEGA organismo pagador;970,6;970.600,00
21.103;—;Total Fondo Español de Garantía Agraria;16.179,72;16.179.720,00
