Orgánica ;Económica;Explicación;Total (miles euros);Total (euros)
21.05;1;GASTOS DE PERSONAL;5.016,96;5.016.960,00
21.05;10;Altos cargos;61,02;61.020,00
21.05;12;Funcionarios;4.546,44;4.546.440,00
21.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;409,5;409.500,00
21.05;4;TRANSFERENCIAS CORRIENTES;1.095,60;1.095.600,00
21.05;44;A entidades del Sector Público Estatal;500;500.000,00
21.05;47;A empresas privadas;445,6;445.600,00
21.05;48;A familias e instituciones sin fines de lucro;150;150.000,00
21.05;6;INVERSIONES REALES;7.454,71;7.454.710,00
21.05;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;100;100.000,00
21.05;64;Gastos de inversiones de carácter inmaterial;7.354,71;7.354.710,00
21.05;7;TRANSFERENCIAS DE CAPITAL;44.887,00;44.887.000,00
21.05;75;A Comunidades Autónomas;30.302,00;30.302.000,00
21.05;77;A empresas privadas;9.550,00;9.550.000,00
21.05;78;A familias e instituciones sin fines de lucro;5.035,00;5.035.000,00
21.05;—;TOTAL PROGRAMA 412C – Competitividad y calidad de la producción y los mercados agrarios;58.454,27;58.454.270,00
