Económica;Explicación;Orgánica (21.08);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;21.08;1.830,53;1.830.530,00 €
12;Funcionarios;21.08;1.420,62;1.420.620,00 €
13;Laborales;21.08;185,21;185.210,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;21.08;224,7;224.700,00 €
4;TRANSFERENCIAS CORRIENTES;21.08;100;100.000,00 €
48;A familias e instituciones sin fines de lucro;21.08;100;100.000,00 €
484;FENACORE – formación y apoyo a Comunidades de Regantes;21.08;100;100.000,00 €
6;INVERSIONES REALES;21.08;58.021,94;58.021.940,00 €
7;TRANSFERENCIAS DE CAPITAL;21.08;198;198.000,00 €
76;A Entidades Locales;21.08;198;198.000,00 €
760;A ayuntamientos, diputaciones y otros entes locales;21.08;198;198.000,00 €
76002;Ayuntamiento de Castellar de la Ribera – asfaltado y adecuación de caminos;21.08;108;108.000,00
76003;San Martín de Torruella – mantenimiento camino rural Vilaclara;21.08;90;90.000,00 €
8;ACTIVOS FINANCIEROS;21.08;96.872,10;96.872.100,00 €
85;Adquisición de acciones y participaciones del Sector Público;21.08;96.872,10;96.872.100,00 €
851;Sociedad Estatal de Infraestructuras Agrarias, S.A. (SEIASA);21.08;96.872,10;96.872.100,00
—;TOTAL PROGRAMA 414A – Gestión de recursos hídricos y otras infraestructuras rurales;21.08;157.022,57;157.022.570,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
