Orgánica;Económica;Explicación;Total (miles €);Total (€)
21.04;49;Al exterior;30.408,84;30.408.840,00 €
21.04;490;Abono al Tesoro Público por liquidaciones con la UE (FEGA);30.408,84;30.408.840,00 €
;;TOTAL SECRETARÍA GENERAL DE RECURSOS AGRARIOS Y SEGURIDAD ALIMENTARIA;30.408,84;30.408.840,00 €
21.101;15;Incentivos al rendimiento;388,64;388.640,00 €
21.101;150;Productividad;388,64;388.640,00 €
21.101;16000;Seguridad Social;569,45;569.450,00 €
21.101;16200;Formación y perfeccionamiento del personal;39,35;39.350,00 €
21.101;16204;Acción social;29,13;29.130,00 €
;;TOTAL GASTOS DE PERSONAL – AICA;4.092,10;4.092.100,00 €
21.101;202;Arrendamientos de edificios y otras construcciones;60;60.000,00 €
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS – AICA;3.656,05;3.656.050,00 €
21.101;6;Inversiones reales;1.540,00;1.540.000,00
21.101;83;Concesión de préstamos fuera del Sector Público;17,33;17.330,00
21.101;830;Préstamos a corto plazo;17,33;17.330,00
;;TOTAL AGENCIA DE INFORMACIÓN Y CONTROL ALIMENTARIOS (AICA);9.305,48;9.305.480,00 €
21.103;15;Incentivos al rendimiento;1.352,60;1.352.600,00
21.103;150;Productividad;1.256,33;1.256.330,00 €
21.103;151;Gratificaciones;96,27;96.270,00 €
21.103;16000;Seguridad Social;1.278,64;1.278.640,00 €
21.103;16200;Formación y perfeccionamiento del personal;127,61;127.610,00 €
21.103;16204;Acción social;174,06;174.060,00 €
;;TOTAL GASTOS DE PERSONAL – FEGA;12.204,27;12.204.270,00 €
21.103;22502;Locales;325,75;325.750,00 €
21.103;22601;Atenciones protocolarias y representativas;1,5;1.500,00 €
21.103;278;Gastos corrientes – Presidencia española del Consejo de la UE;180;180.000,00 €
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS – FEGA;7.860,65;7.860.650,00
21.103;45;A Comunidades Autónomas;1.110,00;1.110.000,00 €
21.103;47;A empresas privadas;5.666.262,14;5.666.262.140,00 €
21.103;470;Producción agraria con aportación financiera del FEAGA;5.664.262,14;5.664.262.140,00 €
21.103;471;A empresas privadas;2.000,00;2.000.000,00
21.103;48;A familias e instituciones sin fines de lucro;25.837,00;25.837.000,00 €
21.103;480;Pensiones a familias de carácter civil;20;20.000,00
21.103;481;Becas de formación;217;217.000,00 €
21.103;482;Financiación a entidades sin ánimo de lucro;25.600,00;25.600.000,00 €
;;TOTAL TRANSFERENCIAS CORRIENTES – FEGA;5.693.209,14;5.693.209.140,00 €
21.103;6;Inversiones reales;34.208,87;34.208.870,00 €
21.103;83;Concesión de préstamos fuera del Sector Público;100;100.000,00 €
21.103;830;Préstamos a corto plazo;50;50.000,00 €
21.103;831;Préstamos a largo plazo;50;50.000,00
;;TOTAL FONDO ESPAÑOL DE GARANTÍA AGRARIA (FEGA);5.747.582,93;5.747.582.930,00 €
—;—;TOTAL PROGRAMA 412M – Regulación de los mercados agrarios;5.787.297,25;5.787.297.250,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
