Orgánica;Económica;Explicación;Importe (miles €);Importe (€)
21.01;1;GASTOS DE PERSONAL;25.906,29;25.906.290,00 €
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.861,92;20.861.920,00 €
;3;GASTOS FINANCIEROS;23,17;23.170,00 €
;4;TRANSFERENCIAS CORRIENTES;19.502,25;19.502.250,00 €
;6;INVERSIONES REALES;9.897,44;9.897.440,00 €
;7;TRANSFERENCIAS DE CAPITAL;4.201,00;4.201.000,00 €
;8;ACTIVOS FINANCIEROS;25.134,20;25.134.200,00 €
;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;105.526,27;105.526.270,00 €
21.02;1;GASTOS DE PERSONAL;3.236,39;3.236.390,00 €
;4;TRANSFERENCIAS CORRIENTES;33;33.000,00 €
;6;INVERSIONES REALES;155;155.000,00 €
;—;TOTAL SECRETARÍA GENERAL TÉCNICA;3.424,39;3.424.390,00 €
21.03;1;GASTOS DE PERSONAL;9.917,58;9.917.580,00 €
;6;INVERSIONES REALES;8.791,36;8.791.360,00
;—;TOTAL DIRECCIÓN GENERAL DE SERVICIOS E INSPECCIÓN;18.708,94;18.708.940,00 €
21.04;1;GASTOS DE PERSONAL;1.845,47;1.845.470,00
;3;GASTOS FINANCIEROS;16,18;16.180,00
;4;TRANSFERENCIAS CORRIENTES;70;70.000,00 €
;6;INVERSIONES REALES;4.474,35;4.474.350,00
;—;TOTAL SECRETARÍA GENERAL DE RECURSOS AGRARIOS Y SEGURIDAD ALIMENTARIA;6.406,00;6.406.000,00 €
21.09;1;GASTOS DE PERSONAL;1.830,73;1.830.730,00 €
;—;TOTAL SECRETARÍA GENERAL DE PESCA;1.830,73;1.830.730,00 €
—;—;TOTAL PROGRAMA 411M – Dirección y Servicios Generales de Agricultura, Pesca y Alimentación;135.896,33;135.896.330,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
