Económica;Explicación;Orgánica;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;21.08;3.935,43;3.935.430,00 €
10;Altos cargos;21.08;61,02;61.020,00 €
12;Funcionarios;21.08;3.435,68;3.435.680,00 €
13;Laborales;21.08;18,08;18.080,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;21.08;420,65;420.650,00 €
4;TRANSFERENCIAS CORRIENTES;21.08;6.341,40;6.341.400,00 €
48;A familias e instituciones sin fines de lucro;21.08;6.341,40;6.341.400,00 €
6;INVERSIONES REALES;21.08;4.660,10;4.660.100,00 €
7;TRANSFERENCIAS DE CAPITAL;21.08;159.301,16;159.301.160,00 €
75;A Comunidades Autónomas;21.08;158.710,01;158.710.010,00 €
758;Fundación Ciudad del Envase y el Embalaje;21.08;500;500.000,00 €
759;Aportación AGE a medidas FEADER;21.08;158.210,01;158.210.010,00 €
78;A familias e instituciones sin fines de lucro;21.08;591,15;591.150,00
783;Programas de formación y asesoramiento;21.08;591,15;591.150,00 €
8;ACTIVOS FINANCIEROS;21.08;15.000,00;15.000.000,00 €
82;Concesión de préstamos al Sector Público;21.08;15.000,00;15.000.000,00 €
821;Préstamos a largo plazo;21.08;15.000,00;15.000.000,00
82106;A ENISA (Ley 11/2020, disposición adicional 62);21.08;15.000,00;15.000.000,00 €
7;TRANSFERENCIAS DE CAPITAL;21.103;1.593.307,29;1.593.307.290,00 €
74;A entidades del Sector Público Estatal;21.103;12.643,11;12.643.110,00
75;A Comunidades Autónomas;21.103;229,22;229.220,00 €
77;A empresas privadas;21.103;1.570.584,03;1.570.584.030,00 €
771;Aportación financiera FEADER (otros organismos pagadores);21.103;1.543.350,31;1.543.350.310,00 €
774;Medidas de Desarrollo Rural;21.103;27.233,72;27.233.720,00 €
78;A familias e instituciones sin fines de lucro;21.103;9.850,93;9.850.930,00 €
780;A familias e instituciones sin fines de lucro;21.103;9.850,93;9.850.930,00
—;TOTAL DIRECCIÓN GENERAL DE DESARROLLO RURAL, INNOVACIÓN Y FORMACIÓN AGROALIMENTARIA;21.08;189.238,09;189.238.090,00
—;TOTAL FONDO ESPAÑOL DE GARANTÍA AGRARIA (FEGA);21.103;1.593.307,29;1.593.307.290,00
—;TOTAL PROGRAMA 414B – Desarrollo del medio rural;—;1.782.545,38;1.782.545.380,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
21.103;;FONDO ESPAÑOL DE GARANTÍA AGRARIA;;
;7;TRANSFERENCIAS DE CAPITAL;;
;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;12.643,11
;740;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;12.643,11
;75;A Comunidades Autónomas;;229,22
;751;Financiación a Comunidades Autónomas;;229,22
;77;A empresas privadas;;1.570.584,03
;771;Aportación financiera FEADER. Otros organismos pagadores;;1.543.350,31
;774;Medidas de Desarrollo Rural;;27.233,72
;78;A familias e instituciones sin fines de lucro;;9.850,93
;780;A familias e instituciones sin fines de lucro;;9.850,93
;;TOTAL TRANSFERENCIAS DE CAPITAL;;1.593.307,29
 ; ;;;
;;TOTAL FONDO ESPAÑOL DE GARANTÍA AGRARIA;;1.593.307,29
 ; ;;;
 ; ;;;
;;TOTAL Desarrollo del medio rural;;1.782.545,38
