Económica;Explicación;Orgánica (21.10);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;21.10;2.313,08;2.313.080,00 €
10;Altos cargos;21.10;61,02;61.020,00 €
12;Funcionarios;21.10;2.002,09;2.002.090,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;21.10;249,97;249.970,00 €
4;TRANSFERENCIAS CORRIENTES;21.10;119,56;119.560,00 €
48;A familias e instituciones sin fines de lucro;21.10;119,56;119.560,00 €
6;INVERSIONES REALES;21.10;21.638,00;21.638.000,00 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;21.10;6;6.000,00 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;21.10;822;822.000,00 €
64;Gastos de inversiones de carácter inmaterial;21.10;20.810,00;20.810.000,00 €
7;TRANSFERENCIAS DE CAPITAL;21.10;300;300.000,00
78;A familias e instituciones sin fines de lucro;21.10;300;300.000,00 €
—;TOTAL PROGRAMA 415A – Protección de los recursos pesqueros y desarrollo sostenible;21.10;24.370,64;24.370.640,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
