Económica;Explicación;Orgánica;Total (miles €);Total (€)
4;Transferencias corrientes;21.01;1,5;1.500,00 €
440;Consorcio de Compensación de Seguros – Seguro Agrario Combinado;21.01;1,5;1.500,00 €
1;Gastos de personal;21.102;2.205,96;2.205.960,00 €
150;Productividad;21.102;154,5;154.500,00 €
151;Gratificaciones;21.102;20,54;20.540,00 €
16000;Seguridad Social;21.102;197,47;197.470,00 €
16200;Formación y perfeccionamiento del personal;21.102;10,5;10.500,00 €
16201;Economatos y comedores;21.102;0,24;240,00 €
16204;Acción social;21.102;15,95;15.950,00 €
2;Gastos corrientes en bienes y servicios;21.102;1.277,29;1.277.290,00 €
3;Gastos financieros;21.102;15;15.000,00 €
352;Intereses de demora;21.102;15;15.000,00 €
4;Transferencias corrientes;21.102;318.855,15;318.855.150,00 €
450;CEIGRAM – funcionamiento;21.102;126;126.000,00 €
471;Plan Anual de Seguros Agrarios y liquidación de planes anteriores;21.102;317.735,35;317.735.350,00 €
483;Familias e instituciones sin fines de lucro;21.102;28,8;28.800,00 €
484;ASAJA – apoyo al seguro agrario;21.102;218,5;218.500,00 €
485;CAE – apoyo al seguro agrario;21.102;218,5;218.500,00 €
486;COAG-IR – apoyo al seguro agrario;21.102;218,5;218.500,00 €
487;UPA – apoyo al seguro agrario;21.102;218,5;218.500,00 €
488;UdU – actuaciones de apoyo al seguro agrario;21.102;91;91.000,00 €
6;Inversiones reales;21.102;601,24;601.240,00 €
8;Activos financieros;21.102;18,16;18.160,00 €
830;Préstamos a corto plazo;21.102;3;3.000,00 €
831;Préstamos a largo plazo;21.102;15,16;15.160,00 €
—;TOTAL PROGRAMA 416A – Previsión de riesgos en las producciones agrarias y pesqueras;—;322.974,30;322.974.300,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
