Económica;Explicación;21.08;21.103;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;3.935,43;—;3.935,43;3.935.430,00 €
10;Altos cargos;61,02;—;61,02;61.020,00 €
12;Funcionarios;3.435,68;—;3.435,68;3.435.680,00 €
13;Laborales;18,08;—;18,08;18.080,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;420,65;—;420,65;420.650,00 €
4;TRANSFERENCIAS CORRIENTES;6.341,40;—;6.341,40;6.341.400,00 €
48;A familias e instituciones sin fines de lucro;6.341,40;—;6.341,40;6.341.400,00 €
6;INVERSIONES REALES;4.660,10;—;4.660,10;4.660.100,00 €
64;Gastos de inversiones de carácter inmaterial;4.660,10;—;4.660,10;4.660.100,00 €
7;TRANSFERENCIAS DE CAPITAL;159.301,16;1.593.307;1.752.608,45;1.752.608.450,00 €
74;A entidades del Sector Público Estatal;—;12.643,11;12.643,11;12.643.110,00 €
75;A Comunidades Autónomas;158.710,01;229,22;158.939,23;158.939.230,00 €
77;A empresas privadas;—;1.570.584,03;1.570.584,03;1.570.584.030,00 €
78;A familias e instituciones sin fines de lucro;591,15;9.850,93;10.442,08;10.442.080,00 €
8;ACTIVOS FINANCIEROS;15.000,00;—;15.000,00;15.000.000,00 €
82;Concesión de préstamos al Sector Público;15.000,00;—;15.000,00;15.000.000,00 €
—;TOTAL PROGRAMA 414B – Desarrollo del medio rural;189.238,09;1.593.307,29;1.782.545,38;1.782.545.380,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
