Económica;Explicación;20.01;20.02;20.03;20.10;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;27.880,21;4.170,32;2.282,62;1.674,35;36.007,50;36.007.500,00
10;Altos cargos;208,56;61,04;71,16;63,79;404,55;404.550,00
11;Personal eventual;519,92;—;289,32;—;809,24;809.240,00
12;Funcionarios;17.391,85;3.603,72;1.044,64;1.260,80;23.301,01;23.301.010,00
13;Laborales;2.487,73;172,86;—;109,12;2.769,71;2.769.710,00
15;Incentivos al rendimiento;3.957,50;—;776,98;—;4.734,48;4.734.480,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3.314,65;332,7;100,52;240,64;3.988,51;3.988.510,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;13.154,60;38,81;84,04;21;13.298,45;13.298.450,00
20;Arrendamientos y cánones;406,77;—;—;—;406,77;406.770,00
21;Reparaciones, mantenimiento y conservación;4.107,23;—;—;—;4.107,23;4.107.230,00
22;Material, suministros y otros;7.839,26;38,81;3,74;1;7.882,81;7.882.810,00
23;Indemnizaciones por razón del servicio;801,34;—;80,3;20;901,64;901.640,00
3;GASTOS FINANCIEROS;1;—;—;—;1;1.000,00
35;Intereses de demora y otros gastos financieros;1;—;—;—;1;1.000,00
4;TRANSFERENCIAS CORRIENTES;429,1;—;4.512,96;—;4.942,06;4.942.060,00
44;A entidades del Sector Público Estatal;178,35;—;4.512,96;—;4.691,31;4.691.310,00
48;A familias e instituciones sin fines de lucro;250,75;—;—;—;250,75;250.750,00
6;INVERSIONES REALES;12.654,28;—;—;—;12.654,28;12.654.280,00
62;Inversión nueva asociada al funcionamiento operativo;1.167,17;—;—;—;1.167,17;1.167.170,00
63;Inversión de reposición asociada al funcionamiento operativo;3.883,19;—;—;—;3.883,19;3.883.190,00
64;Gastos de inversiones de carácter inmaterial;7.603,92;—;—;—;7.603,92;7.603.920,00
8;ACTIVOS FINANCIEROS;173,94;—;—;—;173,94;173.940,00
83;Concesión de préstamos fuera del Sector Público;173,94;—;—;—;173,94;173.940,00
—;TOTAL PROGRAMA 421M – Dirección y Servicios Generales de Industria y Turismo;54.293,13;4.209,13;6.879,62;1.695,35;67.077,23;67.077.230,00
