;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 43ND C14.I04 Actuaciones especiales en el ámbito de la competitividad.;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;20.50;20.104;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.391,00;;1.391,00;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;1.391,00;;1.391,00;
6;INVERSIONES REALES;;11.000,00;11.000,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;;11.000,00;11.000,00;
7;TRANSFERENCIAS DE CAPITAL;196.009,00;;196.009,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;96.000,00;;96.000,00;
75; A Comunidades Autónomas;43.000,00;;43.000,00;
76; A Entidades Locales;32.445,00;;32.445,00;
78; A familias e instituciones sin fines de lucro;24.564,00;;24.564,00;
;TOTAL;197.400,00;11.000,00;208.400,00;
;;



