Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.09;12;Funcionarios;896,9;896.900,00
20.09;13;Laborales;106,86;106.860,00
20.09;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;147,12;147.120,00
20.09;16000;Seguridad Social;147,12;147.120,00
;;TOTAL GASTOS DE PERSONAL;1.150,88;1.150.880,00
20.09;78;A familias e instituciones sin fines de lucro;2.625,00;2.625.000,00
20.09;789;Plan de Promoción de la Innovación en Calidad y Seguridad Industrial;2.625,00;2.625.000,00
20.09;78901;Potenciación y mejora de la Asociación Española de Normalización (AENOR);1.150,00;1.150.000,00
20.09;78902;Potenciación y mejora de la Entidad Nacional de Acreditación (ENAC);175;175.000,00
20.09;78903;Potenciación de la Fundación para el Fomento de la Innovación Industrial (FFII);1.300,00;1.300.000,00
;;TOTAL TRANSFERENCIAS DE CAPITAL;2.625,00;2.625.000,00
;;TOTAL DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;3.775,88;3.775.880,00
;;TOTAL PROGRAMA 421O – Calidad y seguridad industrial;3.775,88;3.775.880,00
