Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;71.150,13;71.150.130
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;36.038,41;36.038.410
4;TRANSFERENCIAS CORRIENTES;40.095,63;40.095.630
—;TOTAL OPERACIONES CORRIENTES;147.284,17;147.284.170
6;INVERSIONES REALES;436.929,50;436.929.500
7;TRANSFERENCIAS DE CAPITAL;3.907.932,95;3.907.932.950
—;TOTAL OPERACIONES DE CAPITAL;4.344.862,45;4.344.862.450
—;TOTAL OPERACIONES NO FINANCIERAS;4.492.146,62;4.492.146.620
8;ACTIVOS FINANCIEROS;979.837,62;979.837.620
—;TOTAL PRESUPUESTO;5.471.984,24;5.471.984.240
4;TRANSFERENCIAS CORRIENTES (entre subsectores);–28.623,32;–28.623.320
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);–5.282,95;–5.282.950
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–33.906,27;–33.906.270
—;TOTAL CONSOLIDADO;5.438.077,97;5.438.077.970
