Código;Programa;Cap. 1 (Personal);Cap. 2 (Bienes y servicios);Cap. 3 (Financieros);Cap. 4 (Transferencias corrientes);Cap. 6 (Inversiones reales);Cap. 7 (Transferencias de capital);Cap. 8 (Activos financieros);Total (miles €);Total (€ reales)
231G;Atención a la infancia y a las familias;2.296,43;2.285,62;—;36.748,61;—;52;—;41.382,66;41.382.660 €
232A;Promoción y servicios a la juventud;9.421,25;8.519,20;26;36.032,97;197,22;50;29,95;54.276,59;54.276.590 €
232N;Dirección y Servicios Generales de Juventud e Infancia;8.993,50;922,52;—;—;—;5;—;9.921,02;9.921.020 €
46SA;Competencias digitales transversales (I+D+i+Digitalización);—;—;—;—;7.000,00;90.000,00;—;97.000,00;97.000.000 €
000X;Transferencias y libramientos internos;—;—;12.311,64;—;—;247,22;—;12.558,86;12.558.860 €
;Totales consolidados;20.711,18;11.727,34;26;85.093,22;7.202,22;90.349,22;29,95;215.139,13;215.139.130 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
