;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 07 CLASES PASIVAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 4;Cap. 1 a 8;Total;
211B; Pensiones de Clases Pasivas;20.369.000,89;20.369.000,89;20.369.000,89;
211C; Otras pensiones y prestaciones de Clases Pasivas;49.447,74;49.447,74;49.447,74;
212B; Pensiones de guerra;81.093,93;81.093,93;81.093,93;
;TOTAL CONSOLIDADO;20.499.542,56;20.499.542,56;20.499.542,56;
000X; Transferencias y libramientos internos;249,75;249,75;249,75;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;249,75;249,75;249,75;
;TOTAL;20.499.792,31;20.499.792,31;20.499.792,31;
;;



