Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;941O;456;Compensación financiera — Labores de Tabaco (País Vasco);120.500,00;120.500.000
1;941O;458;Jubilación anticipada — Policía autónoma vasca;21.000,00;21.000.000
1;941O;45;A Comunidades Autónomas — País Vasco;141.500,00;141.500.000
2;941M;451;Fondo de Suficiencia Global — Cataluña;1.079.014,27;1.079.014.270
2;941M;452;Regularización financiación Mossos d’Esquadra;336.332,10;336.332.100
2;941M;45;A Comunidades Autónomas — Cataluña;1.415.346,37;1.415.346.370
2;941O;458;Jubilación anticipada — Mossos d’Esquadra;36.000,00;36.000.000
2;941O;45;A Comunidades Autónomas — Cataluña;36.000,00;36.000.000
3;941M;451;Fondo de Suficiencia Global — Galicia;725.491,70;725.491.700
3;941M;45;A Comunidades Autónomas — Galicia;725.491,70;725.491.700
4;941M;451;Fondo de Suficiencia Global — Andalucía;609.610,05;609.610.050
4;941M;45;A Comunidades Autónomas — Andalucía;609.610,05;609.610.050
5;941M;451;Fondo de Suficiencia Global — Asturias;226.489,97;226.489.970
5;941M;45;A Comunidades Autónomas — Asturias;226.489,97;226.489.970
6;941M;451;Fondo de Suficiencia Global — Cantabria;596.593,64;596.593.640
6;941M;45;A Comunidades Autónomas — Cantabria;596.593,64;596.593.640
7;941M;451;Fondo de Suficiencia Global — La Rioja;258.348,59;258.348.590
7;941M;45;A Comunidades Autónomas — La Rioja;258.348,59;258.348.590
10;941M;451;Fondo de Suficiencia Global — Aragón;336.673,08;336.673.080
10;941M;45;A Comunidades Autónomas — Aragón;336.673,08;336.673.080
11;941M;451;Fondo de Suficiencia Global — Castilla-La Mancha;96.109,99;96.109.990
12;941M;451;Fondo de Suficiencia Global — Canarias;91.317,49;91.317.490
13;941O;458;Jubilación anticipada — Policía Foral Navarra;2.500,00;2.500.000
14;941M;451;Fondo de Suficiencia Global — Extremadura;541.685,94;541.685.940
17;941M;451;Fondo de Suficiencia Global — Castilla y León;526.831,04;526.831.040
18;941M;451;Fondo de Suficiencia Global — Melilla;34.462,29;34.462.290
19;941M;451;Fondo de Suficiencia Global — Ceuta;43.038,93;43.038.930
20;941M;452;Liquidación definitiva — Varias CC.AA.;6.880.202,30;6.880.202.300
20;941M;453;Aportación al Fondo de Garantía — Varias CC.AA.;11.170.674,00;11.170.674.000
20;941O;456;Compensaciones — Varias CC.AA.;342.200,00;342.200.000
21;942M;460;Transferencias a Ayuntamientos;13.640.757,69;13.640.757.690
21;942M;461;Transferencias a Diputaciones y Cabildos;6.581.951,85;6.581.951.850
21;942M;468;Liquidación definitiva — Corporaciones Locales;569.866,18;569.866.180
21;942N;464;Compensación IPSI — Ceuta y Melilla;142.535,00;142.535.000
21;942N;466;Compensación beneficios fiscales — Entidades Locales;77.784,43;77.784.430
;;;TOTAL SECCIÓN 38 — SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES;45.087.970,53;45.087.970.530,00
